,,,,,,,,,,,,,,,,,,,,,,,,,,,NSE,NSE,
,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Finance S / Interim SQ,Finance S / Interim SQ,Annual Finance Standalone
,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs.,Rs.,Rs. Million
,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jul 2007,Jul 2007,Jul 2007,Jul 2007,Jul 2007,Jul 2007,Jul 2007,Jul 2007,Jul 2007,Jul 2007,Jul 2007,Jul 2007,Jul 2007,02 Jul 2007,02 Jul 2008,Jul-05
Company Name,Total income,Net sales,Income from financial services,Extra-ordinary income,Extra-ordinary expenses,Total expenses,Cost of goods sold,Total term liabilities,Current liabilities,Total assets,Current assets,Net cash flow from operating activities,PB on NSE,Total income,Net sales,Income from financial services,Extra-ordinary income,Extra-ordinary expenses,Total expenses,Cost of goods sold,Total term liabilities,Current liabilities,Total assets,Current assets,Net cash flow from operating activities,PB on NSE,Adjusted Closing Price ,Adjusted Closing Price ,Total assets
A B B India Ltd.,46830,42844.6,217.1,7.1,,43957,34608.16,15.4,19363.3,32556.6,26521.3,2453.1,13.35,64543.2,59403.7,277.3,,0.2,60159.9,46942.94,5.6,28336.3,47239.8,38893.5,2724.8,19.88,1111.2,788.05,23983.5
A C C Ltd.,67790.1,56513.3,771.3,1622.7,,55159.3,24362.19,7441.1,11033.1,60132,14661,14009.8,6.48,82928.1,67874.3,1223.4,2014.3,98.8,68611.5,28766.43,2903.8,15549.2,71195.7,17759.3,20217.5,4.63,939.85,501.05,44607.8
A I A Engineering Ltd.,3077.1,3042.8,18.9,0.5,0.5,2722.2,2148.63,0,279.2,3479.7,1400.5,181.3,4.49,4370.7,4023.2,79.6,0.5,0.2,3871.6,2786.17,,375.5,5553.5,1828.8,410.7,5.3,346.36,248.2,1716.5
Aban Offshore Ltd.,5054.2,4885.4,117.9,0.1,,4216,2111.69,6311,782.9,12815,1260,2489.3,14.32,5645.8,4954.7,554.5,119.1,,4649.8,2160.66,10175.8,932.7,18976.4,3060.5,1888.8,20.99,3091.65,2747.85,10594.7
Aditya Birla Nuvo Ltd.,28400.1,26087.6,634.8,14.3,3.4,26966.6,19365.62,9572.3,4247.8,44578.1,10267.1,1769.6,2.05,36930.9,33873.6,789.1,54.3,,35133.1,24765.47,18208.1,3937.3,66167.8,11010.1,4832.9,3.2,1369.05,1107.45,22494.7
Allahabad Bank,44378.8,,42603.5,103.8,0.5,37317.5,5540.38,11683.8,19853.9,552984.9,72202,-9692.2,1.16,54675.4,,54005.5,0.6,0.3,47174,5299.07,18390.5,18042,676759.4,64422,10039.6,0.9,82.5,57.1,451523.2
Alok Industries Ltd.,15033.7,14255.7,152.7,,1.8,14144.4,10554.19,17678.2,1706.6,33277.5,13563.2,3039.4,1.44,20065.3,18572.7,868.1,,0.9,19071.1,13486.36,26524.3,2554.6,47998.1,19263.3,1558,0.95,54.33,33.14,22502.6
Alstom India Ltd.,10314.8,9433.1,164.5,8.7,,9681.7,7843.64,40.7,7156.8,11394.9,8638,2006.3,8.23,13268.9,12175,283.1,,,12175,9922.5,22.5,10452.1,15020.3,10880.7,710.5,8.04,808.2,332.3,8983.3
Ambuja Cements Ltd.,72721.6,62104.6,1262,157.5,121,57480,25355.77,7453.8,5329.1,54654,8918.1,18016.5,6.13,74133.2,55864.3,6541.5,3321.2,63,56974.9,21092.87,3304.2,6755.4,65759.2,13899.1,15516.8,4.8,122.5,75.7,40953
Amtek Auto Ltd.,8949.7,8821.7,120.9,,,7513.9,6147.65,16425.6,1285.1,31417,16840.8,-608.7,2.74,11957,11161.8,751.4,17,,9769.3,7988.75,12735.4,1766.9,32215.3,7027,2633.5,3.16,405.65,234.35,16796.9
Andhra Bank,31395.1,,29581.1,4.6,,26540.1,4442.88,13581.4,23854.9,406732.9,66900.3,21393.6,1.35,38388.9,,35908.2,3.7,,33638.1,4811.92,12084.3,15921.7,475579,48370,23085.9,1.17,85.85,52.9,327386.3
Ansal Housing & Construction Ltd.,1305.9,1221.8,75.8,4.5,0.2,1301.3,996.57,546.7,1317.4,3557.6,1749.4,-454.8,0.12,2016.5,1954.3,51,,0.3,1547.4,976.22,1080,1149.9,5453.7,2523.7,-1227.9,3.1,80.23,33.37,2458.8
Arvind Ltd.,16609.2,15833.3,39.4,105.4,,15239.4,11369.55,11321.5,2429,36752.7,8965.4,2180.8,1.43,20065.4,18342.9,358.7,1001.2,66.1,19374.5,13252.02,12700.7,4052.8,37982.5,9378.8,2435.2,0.69,45.2,30.95,32402.1
Ashok Leyland Ltd.,62878.8,53292.5,455.5,344.9,11.7,62611.7,43949.29,6379.2,11269.3,37195.9,19946.5,3220.2,3.55,86258.6,73312.9,895.5,90.3,17,83113.4,62231.2,3684.4,16304.3,45250.2,20893.5,4997,2.72,18.85,14.32,34089.6
Aurobindo Pharma Ltd.,15106.4,13957.4,158.9,28.7,,14661.3,11905.45,6585.5,2840.3,25259.3,11744.3,275.1,4.02,21092.7,18857.8,888.3,41.2,,19526.8,15651.42,13503.2,3216.9,33696.4,17517.2,475.3,3.9,78.72,27.53,19477
Axis Bank Ltd.,36205.3,,35992.6,,17,31354.5,3079.46,36015.5,21512.1,497846.4,51388,39704.9,3.44,54746.9,,54318.3,,29.1,48156.6,4471.68,80970.2,20169.2,733097.1,85471.4,48851.6,4.06,121.48,126.89,377997.5
B E M L Ltd.,22760.7,20699.5,137.2,1.7,,20642.7,16081.3,0,11843.1,21552.1,18126.1,1055.8,6.2,26601.6,24419,171.9,1.3,,24442,19174.71,0,11550.9,22930.7,19930.2,445.1,3.85,1121.85,707.55,20555.4
Bajaj Hindusthan Sugar Ltd.,16468.3,14508.8,827.8,0.1,0.9,14631.6,11360.57,14660.9,1820.4,34126.4,4077.6,-771.9,3.35,19279.2,17073.1,1756.3,,0.5,21318.9,13913.24,24659,6246.5,54417.8,6139.9,802.7,1.68,140.27,144.67,12955.5
Ballarpur Industries Ltd.,21243.3,18759,144.9,17,,19154.3,13314.46,11586.6,2220.6,36738.1,11089,3983.7,1.05,23959.7,21681.3,115.5,9.3,0.4,21370.3,15426.02,9976.5,2286.2,40263.8,10111.9,4483.2,1.1,23.55,32.45,32176.5
Balrampur Chini Mills Ltd.,19969.8,19199.5,7,26.7,16.5,14022.6,14448.21,3542.8,1920.5,19178.6,2697.1,5577.2,2.78,14962.4,13754.9,90.8,25.5,7.2,17672.4,12881.87,9858.9,3510.6,27716.2,4951.1,980.5,2.17,74.9,78.45,12331.7
Bank Of Baroda,86665.9,,79517.8,5.7,8.7,78396.3,12634.89,70619.5,45566.7,1133925.3,160378.8,-24440.6,1.07,104381.1,,99281.3,131.3,2.8,94116.5,14305.13,38516.8,48745.3,1431461.8,222118.9,91623.8,0.91,53.26,40.96,946642.4
Bank Of India,82130.8,,78452.8,2.7,,75116.4,10923.83,91103.2,41677.2,1122742.7,128544.9,68789.7,1.35,104992.3,,99784.1,159.5,,93760.6,13011.32,106293.8,50601.1,1422470.2,191873,83534.4,1.42,227.8,223.15,950044.5
Bata India Ltd.,8223.9,7615.3,9.2,227.5,1.4,7838,5754.87,61.6,1777.2,4689.1,3322.9,444.3,7.11,9047.9,8603.2,29.7,65.9,3.6,8866.3,6258.67,1.4,2049.9,5354.2,3624.5,494.2,8.71,88.3,75.3,5513.9
Bharat Electronics Ltd.,36589,35138.9,761.7,31.8,28.2,29938.7,24053.89,78.7,22482.8,54947.6,41795.4,6785.6,5.19,41473,38976.4,1304.7,9,,34936.5,27486.09,17.2,28290.8,69095.4,54091.8,3503.6,4.64,635.82,333.27,45882.8
Bharat Forge Ltd.,17545.5,15807.7,390.1,11.4,0.7,15770,10888.84,7382.5,5114.9,31349.7,10432.9,2182.4,8.58,21104.5,18689.4,730.1,1.8,1.5,18878.3,12950.2,10065.5,5756.9,37345.8,13776.2,2956.9,5.34,308.2,237.35,16373.5
Bharat Heavy Electricals Ltd.,154411.6,134480.6,2660.7,33,,141480.1,96126.02,5553.2,88077.4,214175,161206.6,16238.3,7.52,200956.7,173420.5,4354.9,11.5,,178621.6,121716.86,859.6,117328.6,286520.3,220147.5,28213.7,6.3,306,284.6,174234.1
Bharat Petroleum Corpn. Ltd.,856680.4,754955.5,2099.2,35.1,,861308.3,724186.26,43382.7,88944.9,286607,121226.9,13270.1,1.41,1082455.4,965194.6,4809.7,,9.2,1066456,905475.39,54572.7,102006.2,342407.2,125475.2,46035.6,1.07,171.53,112.22,206667.3
Bharti Airtel Ltd.,113318.3,112273.5,323.9,34.7,,93188.4,64234.96,45017.3,64655.7,198894.9,22259.2,46313.3,10.64,180055.8,178478.6,549.3,24.1,,139732.2,97075.2,49068,94294.2,284464.4,33296.9,81079.5,12.66,418.5,371.15,146708.6
Birla Corporation Ltd.,14358.8,11991.1,49,32.5,6.4,12967.4,7037.06,1543,3217.4,10425.3,1931.1,2116.5,6.5,18080.7,15444,161.7,13.2,1.5,14865.2,7189.41,1319.6,2984.5,14718.2,2087.2,2934.8,2.23,266.85,162.1,8415.1
Bombay Dyeing & Mfg. Co. Ltd.,11777.8,10176.8,157.7,214.7,96.7,10984,8898.14,3464.3,674.4,11741.7,4313.8,211.9,6.03,5402.7,4916,172.8,84.6,,5125.2,4872.2,6316.4,2637,18013.3,4849.2,105.3,5.29,115.93,108.83,8620.9
Bombay Rayon Fashions Ltd.,2011.2,1989.8,10.9,,1.6,2079.8,1520.94,590.8,302.9,2887.5,1296.8,-426.1,4.22,4970.1,4893.8,53.4,,0.3,4840.7,3739.32,1702.1,650.8,9176.3,3543.7,,2.07,255.4,302.05,984.5
Bongaigaon Refinery & Petrochemicals Ltd. [Merged],64908.4,54900.7,144.9,,,63663.4,50133.23,0,5070.1,20501.7,10505.3,1074,1.5,66147.2,56538,204.6,,546.8,64618.1,51294.56,0,4729.7,21918.8,10344.7,1664.5,0.83,50.2,48.2,19185.5
C E S C Ltd.,26300.8,25907.7,162.1,,9.7,24526.1,18494.87,17515.2,12356.5,69610.3,11855.8,7201.8,1.71,26288.8,25642.5,489.9,,1.2,23281.8,17678.51,16105,15487.8,76607.1,13885,10388.4,1.59,371.05,387.35,49211.4
Cairn India Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,146.5,262.3,
