,,,,,,,,,,,,,,,,,,,,,,,,,,NSE,NSE
,,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Finance S / Interim SQ,Finance S / Interim SQ
,,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs. Million,Rs. Million
,,Jun 2007,Jun 2007,Jun 2007,Jun 2007,Jun 2007,Jun 2007,06/07,Jun 2007,Jun 2007,Jun 2007,Jun 2007,Jun 2007,Jun 2008,Jun 2008,Jun 2008,Jun 2008,Jun 2008,Jun 2008,06/08,Jun 2008,Jun 2008,Jun 2008,Jun 2008,Jun 2008,31 Jul 2008,31 Jul 2009
Company Name,NSE symbol,Total income,Sales,Income from financial services,Extra-ordinary income,Total expenses,Cost of goods sold,Total term liabilities,Current liabilities,Total assets,Current assets,Net cash flow from operating activities,PB on NSE,Total income,Sales,Income from financial services,Extra-ordinary income,Total expenses,Cost of goods sold,Total term liabilities,Current liabilities,Total assets,Current assets,Net cash flow from operating activities,PB on NSE,Market Capitalisation,Market Capitalisation
Bajaj Hindusthan Sugar Ltd.,BAJAJHIND,19279.2,18484.8,1756.3,,21318.9,13913.24,24659,6246.5,54417.8,6139.9,802.7,1.68,19993.9,18907.5,1228.2,0.7,23068.7,15169.69,30441,6104.9,58599.7,7197.1,-1488.6,1.09,21762.55,32577.08
Bajaj Holdings & Invst. Ltd.,BAJAJHLDNG,113877.3,107052.5,5759.7,123.5,101497.3,75816.09,16029.7,14987.1,116791.3,10973.8,6946.4,4.44,3556.7,2.4,3554.3,,486.5,8.14,,568.6,57577.1,544.5,3305.8,2.24,35363.64,47424.71
Ballarpur Industries Ltd.,BALLARPUR,23959.7,23759.2,115.5,9.3,21370.3,15426.02,9976.5,2286.2,40263.8,10111.9,4483.2,1.1,11721.8,10496.7,832.9,1,10328.5,6861.78,7662.8,809.7,26677.6,6835,1417.1,1.47,18387.84,12915.93
Balrampur Chini Mills Ltd.,BALRAMCHIN,14962.4,14774.1,90.8,25.5,17672.4,12881.87,9858.9,3510.6,27716.2,4951.1,980.5,2.17,15774,15541.1,141.6,27.6,16122.5,11562.86,10207.8,2030.6,29413.9,6413.6,610.1,2.04,21859.19,30357.71
Bank Of Baroda,BANKBARODA,104381.1,,99281.3,131.3,94116.5,14305.13,38516.8,48745.3,1431461.8,222118.9,91623.8,0.91,138921.8,,131953.6,13.7,124566.6,15946.02,93311.9,56850.3,1795995.1,258382.9,82693.6,0.93,93361.5,158455.93
Bank Of India,BANKINDIA,104992.3,,99784.1,159.5,93760.6,13011.32,106293.8,50601.1,1422470.2,191873,83534.4,1.42,144721.4,,138171.8,0.4,124627.4,13179.82,119184.2,61101.9,1788606.3,197062.5,54165.7,1.51,143162.79,172546.34
Bata India Ltd.,BATAINDIA,9047.9,8923.4,29.7,65.9,8866.3,6258.67,1.4,2049.9,5354.2,3624.5,494.2,8.71,10251.8,10129.5,29.2,8.3,9537.6,7054.81,0,2030.8,5844.2,3493.5,533.3,2.72,9562.45,10777.03
Bharat Electronics Ltd.,BEL,41473,39642.8,1304.7,9,34936.5,27486.09,17.2,28290.8,69095.4,54091.8,3503.6,4.64,44119.3,41127.8,1827.6,36,35990.5,28862.28,13.8,32915.9,84017.7,62830.3,5033.7,2.64,77804,117432
Bharat Forge Ltd.,BHARATFORG,21104.5,20270.7,730.1,1.8,18878.3,12950.2,10065.5,5756.9,37345.8,13776.2,2956.9,5.34,24914.7,23678.4,1152,0.5,22385.2,15529.97,11929.6,6343.4,39854.6,9572.7,3445.8,4.04,56909.92,46846.04
Bharat Heavy Electricals Ltd.,BHEL,200956.7,190670.2,4354.9,11.5,178621.6,121716.86,859.6,117328.6,286520.3,220147.5,28213.7,6.3,234635.3,217756.7,9813,17.2,214314.5,137879.74,910.6,165764.5,376099.3,287276.6,34779,9.37,823372.64,1091776.46
Bharat Petroleum Corpn. Ltd.,BPCL,1082455.4,1074522.7,4809.7,,1066456,905475.39,54572.7,102006.2,342407.2,125475.2,46035.6,1.07,1232503.2,1216840.7,10505.9,,1212773.5,1045209.42,78271.7,135945.7,432489.2,185616.7,3556.9,1.26,118549.66,171370.97
Bharti Airtel Ltd.,BHARTIARTL,180055.8,178516.1,549.3,24.1,139732.2,97075.2,49068,94294.2,284464.4,33296.9,81079.5,12.66,260640.8,257035.1,1240.5,6.6,198205.6,138242.53,60900.3,119090.7,418592.1,41121,104598.6,7.75,1515979.89,1557085.04
Bhushan Steel Ltd.,BHUSANSTL,42822.6,42020.5,462.4,6.4,40641.7,32505.12,28868.9,8011.6,54022.1,16593.2,3516.5,1.8,47454,46727.4,520.3,6.6,45097.4,34327.86,53663.3,12443.2,88085.5,21308.9,4367.8,1.74,39377.6,33195.85
Biocon Ltd.,BIOCON,9178,8887.7,149,0.3,7813.6,6002.63,609.4,1759.4,13104.6,4377,1133.1,5.17,12987,9050.7,195.5,3347.5,8757.4,6090.01,1415.3,1642.5,17544.5,4106.3,5266,3.24,38125,43710
Bombay Dyeing & Mfg. Co. Ltd.,BOMDYEING,5402.7,5014.2,172.8,84.6,5125.2,4872.2,6316.4,2637,18013.3,4849.2,105.3,5.29,11378.2,9913.3,197.8,966.7,10923.7,9123.12,8150.2,2801.6,22433.5,5066.5,553.5,6,23799.48,13618.28
Bombay Rayon Fashions Ltd.,BRFL,4970.1,4899,53.4,,4840.7,3739.32,1702.1,650.8,9176.3,3543.7,,2.07,9448.2,9270.6,172.6,,9226.9,6924.91,4020.3,708.6,14469.1,5787.2,-990.4,3.1,21984.16,15190.24
