||||||||||||||||||||||||||NSE|NSE
||Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Finance S / Interim SQ|Finance S / Interim SQ
||Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Times|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Times|Rs. Million|Rs. Million
||Jun 2007|Jun 2007|Jun 2007|Jun 2007|Jun 2007|Jun 2007|Jun 2007|Jun 2007|Jun 2007|Jun 2007|Jun 2007|Jun 2007|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|31 Jul 2008|31 Jul 2009
Company Name|NSE symbol|Total income|Sales|Income from financial services|Extra-ordinary income|Total expenses|Cost of goods sold|Borrowings|Current liabilities|Total assets|Current assets|Net cash flow from operating activities|PB on NSE|Total income|Sales|Income from financial services|Extra-ordinary income|Total expenses|Cost of goods sold|Borrowings|Current liabilities|Total assets|Current assets|Net cash flow from operating activities|PB on NSE|Market Capitalisation|Market Capitalisation
Bajaj Hindusthan Sugar Ltd.|BAJAJHIND|19279.20|18484.80|1756.30||21318.90|13913.24|28907.80|6246.50|54417.80|6139.90|802.70|1.68|19993.90|18907.50|1228.20|0.70|23068.70|15169.69|34090.80|6104.90|58599.70|7197.10|-1488.60|1.09|21762.55|32577.08
Bajaj Holdings & Invst. Ltd.|BAJAJHLDNG|113877.30|107052.50|5759.70|123.50|101497.30|75816.09|16256.90|14987.10|116791.30|10973.80|6946.40|4.44|3556.70|2.40|3554.30||486.50|8.14||568.60|57577.10|544.50|3305.80|2.24|35363.64|47424.71
Ballarpur Industries Ltd.|BALLARPUR|23959.70|23759.20|115.50|9.30|21370.30|15426.02|13326.40|2286.20|40263.80|10111.90|4483.20|1.10|11721.80|10496.70|832.90|1.00|10328.50|6861.78|9380.60|809.70|26677.60|6835.00|1417.10|1.47|18387.84|12915.93
Balrampur Chini Mills Ltd.|BALRAMCHIN|14962.40|14774.10|90.80|25.50|17672.40|12881.87|12856.50|3510.60|27716.20|4951.10|980.50|2.17|15774.00|15541.10|141.60|27.60|16122.50|11562.86|13506.80|2030.60|29413.90|6413.60|610.10|2.04|21859.19|30357.71
Bank Of Baroda|BANKBARODA|104381.10||99281.30|131.30|94116.50|14305.13|38616.60|48745.30|1431461.80|222118.90|91623.80|0.91|138921.80||131953.60|13.70|124566.60|15946.02|93497.60|56850.30|1795995.10|258382.90|82693.60|0.93|93361.50|158455.93
Bank Of India|BANKINDIA|104992.30||99784.10|159.50|93760.60|13011.32|113797.80|50601.10|1422470.20|191873.00|83534.40|1.42|144721.40||138171.80|0.40|124627.40|13179.82|121184.20|61101.90|1788606.30|197062.50|54165.70|1.51|143162.79|172546.34
Bata India Ltd.|BATAINDIA|9047.90|8923.40|29.70|65.90|8866.30|6258.67|452.10|2049.90|5354.20|3624.50|494.20|8.71|10251.80|10129.50|29.20|8.30|9537.60|7054.81|359.10|2030.80|5844.20|3493.50|533.30|2.72|9562.45|10777.03
Bharat Electronics Ltd.|BEL|41473.00|39642.80|1304.70|9.00|34936.50|27486.09|17.20|28290.80|69095.40|54091.80|3503.60|4.64|44119.30|41127.80|1827.60|36.00|35990.50|28862.28|13.80|32915.90|84017.70|62830.30|5033.70|2.64|77804.00|117432.00
Bharat Forge Ltd.|BHARATFORG|21104.50|20270.70|730.10|1.80|18878.30|12950.20|14016.20|5756.90|37345.80|13776.20|2956.90|5.34|24914.70|23678.40|1152.00|0.50|22385.20|15529.97|12874.90|6343.40|39854.60|9572.70|3445.80|4.04|56909.92|46846.04
Bharat Heavy Electricals Ltd.|BHEL|200956.70|190670.20|4354.90|11.50|178621.60|121716.86|893.30|117328.60|286520.30|220147.50|28213.70|6.30|234635.30|217756.70|9813.00|17.20|214314.50|137879.74|951.80|165764.50|376099.30|287276.60|34779.00|9.37|823372.64|1091776.46
