|||||||||||||||||||||||||||NSE|NSE
|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Finance S / Interim SQ|Finance S / Interim SQ
|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Times|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Times|Rs.|Rs.
|Jun 2012|Jun 2012|Jun 2012|Jun 2012|Jun 2012|Jun 2012|Jun 2012|Jun 2012|Jun 2012|Jun 2012|Jun 2012|Jun 2012|Jun 2012|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|01 Jul 2013|30 Jun 2014
Company Name|Total income|Net sales|Extra-ordinary income|Extra-ordinary expenses|Total expenses|Cost of goods sold|Income from financial services|Current liabilities|Total term liabilities|Total assets|Current assets|Net cash flow from operating activities|PB on NSE|Total income|Net sales|Extra-ordinary income|Extra-ordinary expenses|Total expenses|Cost of goods sold|Income from financial services|Current liabilities|Total term liabilities|Total assets|Current assets|Net cash flow from operating activities|PB on NSE|Adjusted Closing Price |Adjusted Closing Price 
A C C Ltd.|129788.70|110215.60|61.50|0.00|118976.60|53992.66|2586.70|24793.60|880.60|121427.10|23059.20|14917.20|3.64|129764.60|109075.70||157.80|118769.30|56077.02|2204.70|25566.10|30.30|123517.20|23577.30|9605.10|2.66|1220.05|1469.25
Adani Enterprises Ltd.|57664.00|52714.40|525.00|520.50|55588.50|44651.20|4278.80|24374.70|11873.50|142148.90|30103.90|2015.90|3.35|128330.60|118833.70|62.70|61.70|123972.90|101416.97|9057.30|45869.00|21538.70|203514.80|64289.40|-438.30|2.15|216.15|455.05
Adani Ports & Special Economic Zone Ltd.|25221.50|23061.70|9.50|0.00|13448.90|8156.28|2061.40|10946.90|46965.00|131780.40|13585.80|12874.40|4.97|35642.90|29750.70|0.00|52.70|18101.10|9937.32|5732.60|23172.90|78845.50|182567.40|32115.00|13470.90|4.15|151.55|243.70
Adani Power Ltd.|41942.70|38015.10|28.60||44881.90|27790.28|2390.80|20437.00|206848.30|361185.00|49827.90|5407.80|2.48|69196.80|62115.60|70.10|2416.90|88717.10|59179.74|5659.30|36900.40|255787.50|379833.90|39561.90||2.09|42.60|62.55
Aditya Birla Nuvo Ltd.|90819.30|84204.60|0.90|1038.80|88327.40|64384.55|1729.00|16249.60|16907.40|125521.60|39633.40|3965.20|1.89|104908.70|97199.60|0.00|30.20|100820.20|75438.05|1951.70|20274.80|16947.50|136482.60|44494.10|11.70|1.77|1095.00|1380.30
Allahabad Bank|170636.50||1.00|0.60|151968.60|13574.82|168425.50|36828.80|90825.50|1829576.10|153086.30|124247.90|0.96|197845.20||0.90|0.40|185993.10|14849.20|194606.10|41568.90|100975.80|2044291.50|143112.60||0.60|94.65|145.05
Ambuja Cements Ltd.|114027.30|96683.60|293.30|88.20|103065.00|47404.30|2820.50|15871.40|428.10|124272.60|37450.80|18283.50|3.52|111063.10|90594.90|387.30|92.10|96934.10|47097.30|3280.20|18860.20|404.80|131007.20|38140.10|12275.10|2.98|189.05|220.60
Andhra Bank|122013.00||10.40||108566.30|8638.84|117908.60|24772.70|82405.60|1245782.30|99133.60|37255.60|0.89|139672.50||4.80||126781.20|9603.22|134800.70|23051.00|111193.40|1463268.00|82514.70|36059.70|0.63|84.45|103.00
Apollo Tyres Ltd.|89517.20|81625.60||12.80|87570.50|70514.40|74.90|10941.30|13969.70|63794.70|16661.30|5391.20|1.96|95388.00|85193.60||13.00|92368.50|70617.25|185.20|8792.20|15630.30|65987.00|16347.20|7672.30|1.81|60.40|199.10
