|||||||||||||||||||||||||||NSE|NSE
|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Finance S / Interim SQ|Finance S / Interim SQ
|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Times|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Times|Rs.|Rs.
|Jun 2005|Jun 2005|Jun 2005|Jun 2005|Jun 2005|Jun 2005|Jun 2005|Jun 2005|Jun 2005|Jun 2005|Jun 2005|Jun 2005|Jun 2005|Jul 2006|Jul 2006|Jul 2006|Jul 2006|Jul 2006|Jul 2006|Jul 2006|Jul 2006|Jul 2006|Jul 2006|Jul 2006|Jul 2006|Jul 2006|03 Jul 2006|03 Jul 2007
Company Name|Total income|Net sales|Income from financial services|Extra-ordinary income|Extra-ordinary expenses|Total expenses|Cost of goods sold|Total term liabilities|Current liabilities|Total assets|Current assets|Net cash flow from operating activities|PB on NSE|Total income|Net sales|Income from financial services|Extra-ordinary income|Extra-ordinary expenses|Total expenses|Cost of goods sold|Total term liabilities|Current liabilities|Total assets|Current assets|Net cash flow from operating activities|PB on NSE|Adjusted Closing Price |Adjusted Closing Price 
A B B India Ltd.|32510.20|29709.70|232.00||0.70|30323.40|23452.61|27.30|13728.70|23983.50|18983.00|772.20|9.18|46830.00|42844.60|217.10|7.10||43957.00|34608.16|15.40|19363.30|32556.60|26521.30|2453.10|13.35|499.10|1126.25
A C C Ltd.|46487.20|37869.00|227.60|121.40||43237.70|21044.54|12367.00|7633.90|44607.80|8220.70|5889.00|4.03|67790.10|56513.30|771.30|1622.70||55159.30|24362.19|7441.10|11033.10|60132.00|14661.00|14009.80|6.48|781.65|940.35
Allahabad Bank|38414.60||38026.50|0.30||32996.70|4375.26|7511.00|12949.10|451523.20|41329.50|43853.90|1.93|44378.80||42603.50|103.80|0.50|37317.50|5540.38|11683.80|19853.90|552984.90|72202.00|-9692.20|1.16|63.40|83.85
Alok Industries Ltd.|13414.00|12322.20|76.40||2.90|13247.00|9361.27|10583.40|1467.00|22502.60|13019.50|701.90|1.37|15033.70|14255.70|152.70||1.80|14144.40|10554.19|17678.20|1706.60|33277.50|13563.20|3039.40|1.44|51.48|53.70
Andhra Bank|30353.10||28449.00|0.20||25152.10|4632.10|15926.00|16837.30|327386.30|42202.70||2.35|31395.10||29581.10|4.60||26540.10|4442.88|13581.40|23854.90|406732.90|66900.30|21393.60|1.35|61.85|86.30
Arvind Ltd.|17350.30|16654.80|169.50||3.80|16204.40|12020.73|9931.40|2345.30|32402.10|8822.50|-375.90|1.84|16609.20|15833.30|39.40|105.40||15239.40|11369.55|11321.50|2429.00|36752.70|8965.40|2180.80|1.43|57.85|45.05
Ashok Leyland Ltd.|49893.90|42417.50|720.20|39.00||47361.80|35323.22|8453.90|9611.90|34089.60|18796.90|4477.60|2.19|62878.80|53292.50|455.50|344.90|11.70|62611.70|43949.29|6379.20|11269.30|37195.90|19946.50|3220.20|3.55|19.07|18.98
Aurobindo Pharma Ltd.|11757.90|10848.70|75.60||0.80|11499.40|9055.32|3683.60|1951.50|19477.00|7975.30|832.00|1.86|15106.40|13957.40|158.90|28.70||14661.30|11905.45|6585.50|2840.30|25259.30|11744.30|275.10|4.02|58.23|77.52
Axis Bank Ltd.|23681.90||23441.20||23.90|20336.10|2406.67|23997.10|9118.20|377997.50|64597.00|39463.30|2.69|36205.30||35992.60||17.00|31354.50|3079.46|36015.50|21512.10|497846.40|51388.00|39704.90|3.44|55.17|124.69
