|||||||||||||||||||||||||||NSE|NSE
|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Finance S / Interim SQ|Finance S / Interim SQ
|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Times|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Times|Rs.|Rs.
|Jun 2010|Jun 2010|Jun 2010|Jun 2010|Jun 2010|Jun 2010|Jun 2010|Jun 2010|Jun 2010|Jun 2010|Jun 2010|Jun 2010|Jun 2010|Jun 2011|Jun 2011|Jun 2011|Jun 2011|Jun 2011|Jun 2011|Jun 2011|Jun 2011|Jun 2011|Jun 2011|Jun 2011|Jun 2011|Jun 2011|01 Jul 2011|29 Jun 2012
Company Name|Total income|Net sales|Extra-ordinary income|Extra-ordinary expenses|Total expenses|Cost of goods sold|Income from financial services|Current liabilities|Total term liabilities|Total assets|Current assets|Net cash flow from operating activities|PB on NSE|Total income|Net sales|Extra-ordinary income|Extra-ordinary expenses|Total expenses|Cost of goods sold|Income from financial services|Current liabilities|Total term liabilities|Total assets|Current assets|Net cash flow from operating activities|PB on NSE|Adjusted Closing Price |Adjusted Closing Price 
3I Infotech Ltd.|9508.80|5195.30|291.90|3339.70|10504.90|3627.36|97.90|1626.20|8618.50|29450.50|4031.70|1948.00|1.67|9177.80|5479.20||20.70|7983.90|3740.88|93.40|3015.00|13333.00|33102.70|4291.90|2337.30|0.87|47.30|9.85
A B B India Ltd.|66952.30|62947.70||41.90|66417.70|54491.60|133.10|31630.60||60502.90|47790.60|2206.80|6.96|78176.80|74191.90|0.00|35.30|77175.10|62534.57|414.60|35269.80|0.00|66765.30|50434.40|1180.80|4.88|865.65|802.15
A B G Shipyard Ltd.|19231.30|18076.70|51.90|29.00|18399.90|12302.64|979.90|9747.10|14593.40|53942.30|11643.30|-2923.30|1.19|21937.10|20770.90|10.00|1.50|17305.60|14341.46|1131.60|34377.10|10128.00|76049.50|37480.80|14872.60|1.49|358.45|378.20
A C C Ltd.|90486.10|75512.80||383.70|79842.50|37336.71|1011.20|22505.50|5138.90|122387.30|21366.00|19353.80|3.12|111455.60|92517.80|0.00|94.40|99132.00|44727.80|1919.10|25949.30|5107.30|121652.60|30066.90|14738.90|2.97|955.20|1268.05
Aban Offshore Ltd.|13638.40|11795.50||0.10|10834.00|3036.45|1799.50|2758.30|28917.60|57131.00|3037.10|7012.90|2.74|12673.20|11887.80|4.10||10333.70|3251.58|709.10|2806.60|25022.70|56723.20|4232.90|5625.10|1.32|513.70|389.75
Adani Enterprises Ltd.|117750.80|114317.50|68.10|8.50|114567.80|105095.70|2945.90|17222.80|15926.80|80636.40|34617.60|6630.00|12.67|34628.10|29087.70|65.60|557.70|34159.60|25407.64|5051.60|8874.70|7968.10|116502.30|17071.50|-4074.60|7.50|701.80|222.40
Adani Ports & Special Economic Zone Ltd.|15643.30|12830.70|41.30||8633.50|4588.97|2657.30|9782.40|14138.20|80770.30|11116.10|10350.50|9.08|20052.90|17289.60|329.10||10191.30|6285.39|2338.80|10415.70|15476.30|85106.20|5650.10|12591.60|6.38|162.35|121.15
Adani Power Ltd.|4667.90|4348.60|||2959.90|2227.35|319.30|12390.90|26948.30|168386.10|12999.90|-163.30|4.36|21942.80|20576.50|6.60||16705.30|9212.45|865.50|14983.80|153418.30|259012.20|13327.80|14502.00|3.89|109.75|49.95
Aditya Birla Nuvo Ltd.|50834.10|48304.80|6.60|71.30|47968.50|34726.98|603.30|8890.30|23863.30|98850.90|15991.40|10647.60|2.07|68044.90|64500.40||8.10|65873.80|47059.87|586.50|11858.90|17954.80|102486.50|24919.00|3321.10|1.71|904.50|806.95
