|||||||||||||||||||||||||||NSE|NSE
|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Finance S / Interim SQ|Finance S / Interim SQ
|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Times|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Times|Rs.|Rs.
|Jun 2006|Jun 2006|Jun 2006|Jun 2006|Jun 2006|Jun 2006|Jun 2006|Jun 2006|Jun 2006|Jun 2006|Jun 2006|Jun 2006|Jun 2006|Jul 2007|Jul 2007|Jul 2007|Jul 2007|Jul 2007|Jul 2007|Jul 2007|Jul 2007|Jul 2007|Jul 2007|Jul 2007|Jul 2007|Jul 2007|02 Jul 2007|02 Jul 2008
Company Name|Total income|Net sales|Income from financial services|Extra-ordinary income|Extra-ordinary expenses|Total expenses|Cost of goods sold|Total term liabilities|Current liabilities|Total assets|Current assets|Net cash flow from operating activities|PB on NSE|Total income|Net sales|Income from financial services|Extra-ordinary income|Extra-ordinary expenses|Total expenses|Cost of goods sold|Total term liabilities|Current liabilities|Total assets|Current assets|Net cash flow from operating activities|PB on NSE|Adjusted Closing Price |Adjusted Closing Price 
A B B India Ltd.|46830.00|42844.60|217.10|7.10||43957.00|34608.16|15.40|19363.30|32556.60|26521.30|2453.10|13.35|64543.20|59403.70|277.30||0.20|60159.90|46942.94|5.60|28336.30|47239.80|38893.50|2724.80|19.88|1111.20|788.05
A C C Ltd.|67790.10|56513.30|771.30|1622.70||55159.30|24362.19|7441.10|11033.10|60132.00|14661.00|14009.80|6.48|82928.10|67874.30|1223.40|2014.30|98.80|68611.50|28766.43|2903.80|15549.20|71195.70|17759.30|20217.50|4.63|939.85|501.05
A I A Engineering Ltd.|3077.10|3042.80|18.90|0.50|0.50|2722.20|2148.63|0.00|279.20|3479.70|1400.50|181.30|4.49|4370.70|4023.20|79.60|0.50|0.20|3871.60|2786.17||375.50|5553.50|1828.80|410.70|5.30|346.36|248.20
Aban Offshore Ltd.|5054.20|4885.40|117.90|0.10||4216.00|2111.69|6311.00|782.90|12815.00|1260.00|2489.30|14.32|5645.80|4954.70|554.50|119.10||4649.80|2160.66|10175.80|932.70|18976.40|3060.50|1888.80|20.99|3091.65|2747.85
Aditya Birla Nuvo Ltd.|28400.10|26087.60|634.80|14.30|3.40|26966.60|19365.62|9572.30|4247.80|44578.10|10267.10|1769.60|2.05|36930.90|33873.60|789.10|54.30||35133.10|24765.47|18208.10|3937.30|66167.80|11010.10|4832.90|3.20|1369.05|1107.45
Allahabad Bank|44378.80||42603.50|103.80|0.50|37317.50|5540.38|11683.80|19853.90|552984.90|72202.00|-9692.20|1.16|54675.40||54005.50|0.60|0.30|47174.00|5299.07|18390.50|18042.00|676759.40|64422.00|10039.60|0.90|82.50|57.10
Alok Industries Ltd.|15033.70|14255.70|152.70||1.80|14144.40|10554.19|17678.20|1706.60|33277.50|13563.20|3039.40|1.44|20065.30|18572.70|868.10||0.90|19071.10|13486.36|26524.30|2554.60|47998.10|19263.30|1558.00|0.95|54.33|33.14
Alstom India Ltd.|10314.80|9433.10|164.50|8.70||9681.70|7843.64|40.70|7156.80|11394.90|8638.00|2006.30|8.23|13268.90|12175.00|283.10|||12175.00|9922.50|22.50|10452.10|15020.30|10880.70|710.50|8.04|808.20|332.30
Ambuja Cements Ltd.|72721.60|62104.60|1262.00|157.50|121.00|57480.00|25355.77|7453.80|5329.10|54654.00|8918.10|18016.50|6.13|74133.20|55864.30|6541.50|3321.20|63.00|56974.90|21092.87|3304.20|6755.40|65759.20|13899.10|15516.80|4.80|122.50|75.70
