|||||||||||||||||||||||||||NSE|NSE
|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Finance S / Interim SQ|Finance S / Interim SQ
|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Times|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Times|Rs.|Rs.
|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2009|Jun 2009|Jun 2009|Jun 2009|Jun 2009|Jun 2009|Jun 2009|Jun 2009|Jun 2009|Jun 2009|Jun 2009|Jun 2009|Jun 2009|01 Jul 2009|30 Jun 2010
Company Name|Total income|Net sales|Extra-ordinary income|Extra-ordinary expenses|Total expenses|Cost of goods sold|Income from financial services|Current liabilities|Total term liabilities|Total assets|Current assets|Net cash flow from operating activities|PB on NSE|Total income|Net sales|Extra-ordinary income|Extra-ordinary expenses|Total expenses|Cost of goods sold|Income from financial services|Current liabilities|Total term liabilities|Total assets|Current assets|Net cash flow from operating activities|PB on NSE|Adjusted Closing Price |Adjusted Closing Price 
A B B India Ltd.|74706.60|68595.30|46.00||69970.30|54692.43|639.40|31618.90|0.20|56082.30|44661.50|196.70|4.57|65729.00|62419.90||70.40|62617.50|50339.99|183.30|29869.30||57812.20|45953.70|3544.90|6.75|780.10|862.90
A C C Ltd.|86199.30|71084.20|122.90|89.10|74074.70|32528.70|1367.90|18017.90|4820.30|86462.20|21054.60|17070.50|1.83|90089.60|79214.30||25.50|74309.70|33089.00|803.80|19639.10|5669.20|102436.90|17832.60|23970.80|2.72|763.15|878.10
Aban Offshore Ltd.|7387.80|6829.00||8.80|5796.80|2597.14|478.70|1247.20|11292.50|27093.60|2846.20|1983.00|16.12|12296.10|10050.70|26.90||9698.50|3527.75|2103.90|2216.20|30524.20|46604.60|5076.80|4479.00|1.64|893.80|842.45
Aditya Birla Nuvo Ltd.|42600.40|39194.90|326.40||41001.40|28714.12|225.20|5591.10|16302.90|76938.30|16361.30|2787.10|3.64|51227.50|47860.30|58.30||50032.10|36394.27|542.30|6770.40|22274.10|96006.70|17255.90|4351.80|1.13|889.00|759.45
Allahabad Bank|73059.20|||0.20|63311.80|5880.15|72772.30|24385.20|23688.90|829435.30|84237.60|53346.70|0.79|87075.70||0.40||79389.70|7259.74|86727.30|29624.60|38489.30|976577.70|77687.70|62218.40|0.35|78.10|162.25
Alstom India Ltd.|16517.00|15439.60||10.20|15783.90|12991.79|220.20|15778.10|16.90|21052.60|15125.40|2226.40|11.33|23744.00|22862.80|1.20||22471.40|19022.63|317.80|21235.50|11.30|29136.00|18921.40|1796.50|4.65|485.80|671.55
Ambuja Cements Ltd.|76302.10|61679.80|226.60|42.60|62905.60|26733.04|4832.30|10032.40|2886.70|78533.70|20472.70|9755.80|1.88|79959.60|70714.60|610.60|64.00|67281.50|33188.39|608.60|10670.50|657.00|89013.70|17869.30|21025.00|2.45|89.95|114.90
Andhra Bank|48548.20||2.40||42792.50|4504.35|45985.90|20510.50|17043.10|566243.50|67320.50|21206.40|1.10|61576.80||3.40||55046.30|5552.67|58631.50|18876.20|33511.50|685292.30|63845.50|7643.50|0.60|81.25|129.90
Ashok Leyland Ltd.|92764.50|79848.10|41.90|44.90|89046.20|66760.97|696.20|19267.10|7731.70|55931.20|21025.20|9646.60|2.21|69184.40|61646.90|37.40|11.50|67292.20|53313.08|823.90|18688.70|18748.10|79261.80|24472.80|-5263.30|1.14|15.35|31.82
