|||||||||||||||||||||||||||NSE|NSE
|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Finance S / Interim SQ|Finance S / Interim SQ
|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Times|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Times|Rs.|Rs.
|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|01 Jul 2014|30 Jun 2015
Company Name|Total income|Net sales|Extra-ordinary income|Extra-ordinary expenses|Total expenses|Cost of goods sold|Income from financial services|Current liabilities|Total term liabilities|Total assets|Current assets|Net cash flow from operating activities|PB on NSE|Total income|Net sales|Extra-ordinary income|Extra-ordinary expenses|Total expenses|Cost of goods sold|Income from financial services|Current liabilities|Total term liabilities|Total assets|Current assets|Net cash flow from operating activities|PB on NSE|Adjusted Closing Price |Adjusted Closing Price 
Bank Of Baroda|388423.60||12.40|20.40|343616.40|27085.25|379251.70|128830.10|262438.60|5471354.50|909963.60|579702.00|0.92|434357.20||29.60|27.70|388946.40|32790.76|422311.90|154100.50|347904.50|6595045.40|1384598.70|323228.10|0.89|175.65|144.15
Bank Of India|370968.00||0.00||343474.50|22020.07|357160.30|111499.70|338793.50|4526027.30|612666.70|257043.50|0.79|448477.40||||421184.70|28965.52|433274.90|162789.80|466598.70|5731902.10|771862.70|148337.00|0.56|304.50|171.40
Bata India Ltd.|21297.70|20451.20|0.80|38.80|20603.60|13761.29|190.50|4530.80||13827.60|8989.00|1749.90|8.33|28140.60|26619.40|241.50|1.40|27035.10|18283.33|249.60|5395.50||16374.30|9817.90|1114.40|7.04|640.10|528.85
Bharat Forge Ltd.|34495.70|31668.90|2.10|0.00|31298.20|23046.59|632.70|6673.50|17507.60|51798.20|15263.90|5247.40|2.09|37165.50|34172.00|501.60|6.70|33533.80|23807.07|797.50|6973.00|15856.80|57329.70|18702.90|7652.70|3.65|652.80|1063.25
Bharat Heavy Electricals Ltd.|538104.30|480325.60|33.10||470794.90|345868.89|7997.60|292425.30|2067.70|823927.40|623928.90|18647.80|1.42|439927.50|387398.00|0.50||394783.20|296697.39|13121.50|266849.40|1724.50|846647.00|655601.60|45181.40|1.45|252.45|247.90
Bharat Petroleum Corpn. Ltd.|2525652.60|2390977.80||238.50|2513943.30|2272857.54|14372.40|220894.40|226785.70|679703.10|328360.80|54206.40|1.64|2726627.20|2590232.30|0.00|129.80|2706330.10|2443794.46|9575.40|266488.20|185976.50|737278.50|350837.80|82766.30|1.71|589.60|879.35
Bharti Airtel Ltd.|468503.00|453102.00|0.00|481.00|417533.00|308382.50|14007.00|158829.00|133783.00|995061.00|48219.00|138839.00|2.05|509103.00|498744.00|95.00|0.00|443702.00|327678.50|7183.00|190084.00|90118.00|1120348.00|51599.00|160220.00|1.90|335.50|420.05
Biocon Ltd.|20446.00|19290.00|1.00||17868.00|13312.50|410.00|4272.00|1031.00|30199.00|9798.00|3318.00|2.48|23113.00|21897.00|||19856.00|15003.80|489.00|4755.00|940.00|32275.00|13460.00|1603.00|3.51|523.95|461.10
C E S C Ltd.|56692.30|53763.60|42.80||50507.30|38127.45|812.50|44376.20|32473.50|149034.70|27365.00|15969.30|0.61|57018.60|55637.60|2.50|0.00|50499.70|39959.71|793.80|49401.50|34540.40|163335.30|26562.80|19714.10|1.03|685.85|558.75
Cairn India Ltd.|191735.80|77639.00|82661.20||44408.70|18853.82|7849.20|9620.80|0.00|382487.80|17232.90|134442.30|1.53|129431.10|84490.70|0.00||54986.50|25424.25|19338.20|17048.60||442734.60|20658.90|45082.80|1.64|363.25|181.55
