|||||||||||||||||||||||||||NSE|NSE
|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Finance S / Interim SQ|Finance S / Interim SQ
|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Times|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Times|Rs.|Rs.
|Jun 2011|Jun 2011|Jun 2011|Jun 2011|Jun 2011|Jun 2011|Jun 2011|Jun 2011|Jun 2011|Jun 2011|Jun 2011|Jun 2011|Jun 2011|Jun 2012|Jun 2012|Jun 2012|Jun 2012|Jun 2012|Jun 2012|Jun 2012|Jun 2012|Jun 2012|Jun 2012|Jun 2012|Jun 2012|Jun 2012|02 Jul 2012|02 Jul 2013
Company Name|Total income|Net sales|Extra-ordinary income|Extra-ordinary expenses|Total expenses|Cost of goods sold|Income from financial services|Current liabilities|Total term liabilities|Total assets|Current assets|Net cash flow from operating activities|PB on NSE|Total income|Net sales|Extra-ordinary income|Extra-ordinary expenses|Total expenses|Cost of goods sold|Income from financial services|Current liabilities|Total term liabilities|Total assets|Current assets|Net cash flow from operating activities|PB on NSE|Adjusted Closing Price |Adjusted Closing Price 
A B B India Ltd.|78176.80|74191.90|0.00|35.30|77175.10|62534.57|414.60|35269.80|0.00|66765.30|50434.40|1180.80|4.88|80334.10|75554.90|15.60|0.00|78966.90|63579.35|54.90|32978.20|0.00|85908.80|51625.70|-502.20|5.72|804.65|618.80
A C C Ltd.|111455.60|92517.80|0.00|94.40|99132.00|44727.80|1919.10|25949.30|5107.30|121652.60|30066.90|14738.90|2.97|129788.70|110215.60|61.50|0.00|118976.60|53992.66|2586.70|24793.60|880.60|121427.10|23059.20|14917.20|3.64|1311.65|1234.30
Aban Offshore Ltd.|12673.20|11887.80|4.10||10333.70|3251.58|709.10|2806.60|25022.70|56723.20|4232.90|5625.10|1.32|7144.30|6368.50|0.00||8351.60|2422.41|545.90|3500.20|21587.60|51917.60|3313.90|2513.40|1.05|394.35|256.90
Adani Enterprises Ltd.|34628.10|29087.70|65.60|557.70|34159.60|25407.64|5051.60|8874.70|7968.10|116502.30|17071.50|-4074.60|7.50|57664.00|52714.40|525.00|520.50|55588.50|44651.20|4278.80|24374.70|11873.50|142148.90|30103.90|2015.90|3.35|235.00|216.70
Adani Ports & Special Economic Zone Ltd.|20052.90|17289.60|329.10||10191.30|6285.39|2338.80|10415.70|15476.30|85106.20|5650.10|12591.60|6.38|25221.50|23061.70|9.50|0.00|13448.90|8156.28|2061.40|10946.90|46965.00|131780.40|13585.80|12874.40|4.97|124.75|150.05
Adani Power Ltd.|21942.80|20576.50|6.60||16705.30|9212.45|865.50|14983.80|153418.30|259012.20|13327.80|14502.00|3.89|41942.70|38015.10|28.60||44881.90|27790.28|2390.80|20437.00|206848.30|361185.00|49827.90|5407.80|2.48|51.15|43.85
Aditya Birla Nuvo Ltd.|68044.90|64500.40||8.10|65873.80|47059.87|586.50|11858.90|17954.80|102486.50|24919.00|3321.10|1.71|90819.30|84204.60|0.90|1038.80|88327.40|64384.55|1729.00|16249.60|16907.40|125521.60|39633.40|3965.20|1.89|806.75|1087.60
Allahabad Bank|124765.60||0.40|0.40|110534.50|12469.80|121377.40|38977.70|66060.10|1512910.50|122887.40|53608.30|1.43|170636.50||1.00|0.60|151968.60|13574.82|168425.50|36828.80|90825.50|1829576.10|153086.30|124247.90|0.96|150.60|92.75
Alok Industries Ltd.|67553.50|65123.60||17.40|65735.40|44901.24|1196.50|6616.60|77370.90|142969.70|50258.10|11260.80|0.56|94715.40|90212.20|220.50||106076.70|60727.29|1758.20|9176.00|93777.00|183341.80|69614.10|-1153.90|0.44|17.96|7.15
