|||||||||||||||||||||||||||NSE|NSE
|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Finance S / Interim SQ|Finance S / Interim SQ
|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Times|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Times|Rs.|Rs.
|Jun 2009|Jun 2009|Jun 2009|Jun 2009|Jun 2009|Jun 2009|Jun 2009|Jun 2009|Jun 2009|Jun 2009|Jun 2009|Jun 2009|Jun 2009|Jun 2010|Jun 2010|Jun 2010|Jun 2010|Jun 2010|Jun 2010|Jun 2010|Jun 2010|Jun 2010|Jun 2010|Jun 2010|Jun 2010|Jun 2010|01 Jul 2010|30 Jun 2011
Company Name|Total income|Net sales|Extra-ordinary income|Extra-ordinary expenses|Total expenses|Cost of goods sold|Income from financial services|Current liabilities|Total term liabilities|Total assets|Current assets|Net cash flow from operating activities|PB on NSE|Total income|Net sales|Extra-ordinary income|Extra-ordinary expenses|Total expenses|Cost of goods sold|Income from financial services|Current liabilities|Total term liabilities|Total assets|Current assets|Net cash flow from operating activities|PB on NSE|Adjusted Closing Price |Adjusted Closing Price 
A B B India Ltd.|65729.00|62419.90||70.40|62617.50|50339.99|183.30|29869.30||57812.20|45953.70|3544.90|6.75|66952.30|62947.70||41.90|66417.70|54491.60|133.10|31630.60||60502.90|47790.60|2206.80|6.96|860.60|875.55
A B G Shipyard Ltd.|14258.80|14122.20|3.60|0.40|14632.90|9502.23|64.80|12632.60|9977.70|42052.50|12912.00|-2363.80|0.50|19231.30|18076.70|51.90|29.00|18399.90|12302.64|979.90|9747.10|14593.40|53942.30|11643.30|-2923.30|1.19|259.10|352.25
A C C Ltd.|90089.60|79214.30||25.50|74309.70|33089.00|803.80|19639.10|5669.20|102436.90|17832.60|23970.80|2.72|90486.10|75512.80||383.70|79842.50|37336.71|1011.20|22505.50|5138.90|122387.30|21366.00|19353.80|3.12|866.60|950.45
Aban Offshore Ltd.|12296.10|10050.70|26.90||9698.50|3527.75|2103.90|2216.20|30524.20|46604.60|5076.80|4479.00|1.64|13638.40|11795.50||0.10|10834.00|3036.45|1799.50|2758.30|28917.60|57131.00|3037.10|7012.90|2.74|849.25|524.60
Adani Enterprises Ltd.|118246.80|113296.90|118.10|42.70|109411.30|105349.95|4757.90|16098.20|15193.70|67058.20|34698.60|11061.40|4.02|117750.80|114317.50|68.10|8.50|114567.80|105095.70|2945.90|17222.80|15926.80|80636.40|34617.60|6630.00|12.67|536.85|714.90
Adani Ports & Special Economic Zone Ltd.|12953.00|10324.00|150.80||8342.10|4033.94|2311.40|9597.70|18708.90|65245.80|14226.60|7619.80|4.40|15643.30|12830.70|41.30||8633.50|4588.97|2657.30|9782.40|14138.20|80770.30|11116.10|10350.50|9.08|145.93|161.95
Aditya Birla Nuvo Ltd.|51227.50|47860.30|58.30||50032.10|36394.27|542.30|6770.40|22274.10|96006.70|17255.90|4351.80|1.13|50834.10|48304.80|6.60|71.30|47968.50|34726.98|603.30|8890.30|23863.30|98850.90|15991.40|10647.60|2.07|762.10|903.15
Allahabad Bank|87075.70||0.40||79389.70|7259.74|86727.30|29624.60|38489.30|976577.70|77687.70|62218.40|0.35|103268.90|||5.60|91205.60|8484.54|100582.30|34311.10|54354.70|1217041.00|103112.50|102817.00|1.08|160.10|197.15
Alstom India Ltd.|23744.00|22862.80|1.20||22471.40|19022.63|317.80|21235.50|11.30|29136.00|18921.40|1796.50|4.65|21228.50|20398.00|2.60||20925.20|16037.05|227.20|21926.20|0.00|30796.20|21079.20|3440.30|8.47|659.55|512.15
