|||||||||||||||||||||||||||NSE|NSE
|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Finance S / Interim SQ|Finance S / Interim SQ
|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Times|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Times|Rs.|Rs.
|Jun 2004|Jun 2004|Jun 2004|Jun 2004|Jun 2004|Jun 2004|Jun 2004|Jun 2004|Jun 2004|Jun 2004|Jun 2004|Jun 2004|Jun 2004|Jul 2005|Jul 2005|Jul 2005|Jul 2005|Jul 2005|Jul 2005|Jul 2005|Jul 2005|Jul 2005|Jul 2005|Jul 2005|Jul 2005|Jul 2005|01 Jul 2005|30 Jun 2006
Company Name|Total income|Net sales|Income from financial services|Extra-ordinary income|Extra-ordinary expenses|Total expenses|Cost of goods sold|Total term liabilities|Current liabilities|Total assets|Current assets|Net cash flow from operating activities|PB on NSE|Total income|Net sales|Income from financial services|Extra-ordinary income|Extra-ordinary expenses|Total expenses|Cost of goods sold|Total term liabilities|Current liabilities|Total assets|Current assets|Net cash flow from operating activities|PB on NSE|Adjusted Closing Price |Adjusted Closing Price 
A B B India Ltd.|24965.20|22571.00|158.00|38.00|7.40|23657.80|18237.92|14.90|9279.20|17512.30|13277.50|1772.40|5.80|32510.20|29709.70|232.00||0.70|30323.40|23452.61|27.30|13728.70|23983.50|18983.00|772.20|9.18|266.26|500.38
A C C Ltd.|40610.30|31899.50|1112.20|43.80||38528.10|18746.16|13981.70|6682.20|39363.40|6458.80|4728.10|3.34|46487.20|37869.00|227.60|121.40||43237.70|21044.54|12367.00|7633.90|44607.80|8220.70|5889.00|4.03|385.85|783.95
Aditya Birla Nuvo Ltd.|17716.50|15721.70|437.90|12.90|1.60|16611.10|11366.71|1048.80|2127.40|20652.30|4805.20|2147.00|0.89|20138.30|18615.90|122.60|50.80||19060.10|13761.42|2853.10|2285.80|22494.70|6270.20|513.70|1.78|414.77|693.54
Allahabad Bank|35946.20||34666.50|0.50||31312.40|4486.68|7906.00|8772.10|347107.10|32246.40|35974.20|0.83|38414.60||38026.50|0.30||32996.70|4375.26|7511.00|12949.10|451523.20|41329.50|43853.90|1.93|83.05|63.85
Alok Industries Ltd.|11500.80|10569.90|47.40||1.20|10573.00|8221.59|4372.50|1271.80|14331.80|8194.10|741.90|1.47|13414.00|12322.20|76.40||2.90|13247.00|9361.27|10583.40|1467.00|22502.60|13019.50|701.90|1.37|57.10|51.21
Ambuja Cements Ltd.|24523.70|19553.50|616.10|13.00|33.90|21177.70|9394.00|9532.90|2759.50|40616.50|3725.90|6072.20|2.52|31099.50|25925.80|527.20|66.70|49.10|26511.20|12473.24|9290.30|2889.80|40953.00|4570.30|6399.40|3.66|59.75|99.45
Andhra Bank|29143.50||27887.90|2.40||24508.50|3649.57|12588.10|13108.50|270242.80|34449.20||1.39|30353.10||28449.00|0.20||25152.10|4632.10|15926.00|16837.30|327386.30|42202.70||2.35|96.80|62.50
Arvind Ltd.|15349.90|13879.80|647.40||21.70|14680.20|10245.45|8064.20|1688.40|29583.00|6392.00|1364.60|0.80|17350.30|16654.80|169.50||3.80|16204.40|12020.73|9931.40|2345.30|32402.10|8822.50|-375.90|1.84|128.45|57.65
Ashok Leyland Ltd.|40523.60|34340.20|515.90|20.80||39118.10|28200.88|4632.30|6856.80|25812.90|12478.70|5259.00|2.93|49893.90|42417.50|720.20|39.00||47361.80|35323.22|8453.90|9611.90|34089.60|18796.90|4477.60|2.19|12.28|18.70
