,,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone
,,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs.
,,Jun 2009,Jun 2009,Jun 2009,Jun 2009,Jun 2009,Jun 2009,Jun 2009,Jun 2009,Jun 2009,Jun 2009,Jun 2009,Jun 2009,Jun 2009,Jun 2009
Company Name,NSE symbol,Total income,Sales,Income from financial services,Extra-ordinary income,Total expenses,Cost of goods sold,Profit after tax,Borrowings,Current liabilities,Total assets,Current assets,Net cash flow from operating activities,PB on NSE,Closing price on NSE
A B B India Ltd.,ABB,65729,65151.9,183.3,,62617.5,50339.99,3546.4,,29869.3,57812.2,45953.7,3544.9,6.75,767.1
A C C Ltd.,ACC,90089.6,88031.7,803.8,,74309.7,33089,16067.3,5669.2,19639.1,102436.9,17832.6,23970.8,2.72,872.45
Aban Offshore Ltd.,ABAN,12296.1,10069.2,2103.9,26.9,9698.5,3527.75,2597.6,30829.9,2216.2,46604.6,5076.8,4479,1.64,398.35
Aditya Birla Nuvo Ltd.,ABIRLANUVO,51227.5,50009.4,542.3,58.3,50032.1,36394.27,1374.3,44992.1,6770.4,96006.7,17255.9,4351.8,1.13,444.95
Allahabad Bank,ALBK,87075.7,,86727.3,0.4,79389.7,7259.74,7686,38489.3,29624.6,976577.7,77687.7,62218.4,0.35,38.8
Ambuja Cements Ltd.,AMBUJACEM,79959.6,77639.3,608.6,610.6,67281.5,33188.39,12183.7,1657,10670.5,89013.7,17869.3,21025,2.45,104.25
Andhra Bank,ANDHRABANK,61576.8,,58631.5,3.4,55046.3,5552.67,6530.5,33512.4,18876.2,685292.3,63845.5,7643.5,0.6,45.2
Ashok Leyland Ltd.,ASHOKLEY,69184.4,68269.6,823.9,37.4,67292.2,53313.08,1902.6,19581.4,18688.7,79261.8,24472.8,-5263.3,1.14,18.15
Asian Paints Ltd.,ASIANPAINT,50897.9,50418.7,207,60.8,47280.4,29741.4,3623.6,652.9,7811.4,33557.2,10403.7,3252.1,6.89,786.35
Aurobindo Pharma Ltd.,AUROPHARMA,30248.3,28852.5,1307.2,,29252.3,21438.78,1285.4,21182.5,4943.2,41474.1,20309.9,33.1,0.77,188.15
Axis Bank Ltd.,AXISBANK,138131.6,,136587.4,,119978,10533.15,18153.6,155198.7,37288.3,1477588.4,182638.6,95258.1,1.46,414.95
B E M L Ltd.,BEML,30592,29496.7,293.8,0.1,30710.8,20915.85,2688.4,5676.4,11307.7,41944.6,34530.1,-4169.9,0.83,381.75
Bajaj Auto Ltd.,BAJAJ-AUTO,98256.8,95902.5,1500.1,45.6,91466.9,72242.31,6545,15776.7,12057.4,60473.6,13415.7,3603.5,4.79,618.45
Bajaj Hindusthan Sugar Ltd.,BAJAJHIND,19948.9,16620.3,1848.4,340.7,16837.3,13038.55,1546.2,30751.5,6830.3,65439.5,9418.1,1506.9,1.43,184.25
Bajaj Holdings & Invst. Ltd.,BAJAJHLDNG,2595.1,2,2217.5,4.7,634.9,11.95,1960.2,,258.9,54876,93.2,1332.9,0.94,297.9
Balrampur Chini Mills Ltd.,BALRAMCHIN,18027.1,17714.7,124.8,27.9,12930.7,12791.83,2266.9,9720.3,1554.8,27653.5,3944.9,6120.9,2.67,122.2
Bank Of Baroda,BANKBARODA,178761.1,,171646.1,13.2,156489.1,19920.36,22272,127679,74572,2266722.3,276958.8,84248.6,0.66,234.35
Bank Of India,BANKINDIA,194332.9,,188189.8,,164259.4,15285.55,30073.5,156731.8,63155,2259316.6,252846.9,130491.7,0.98,219.4
Bharat Electronics Ltd.,BEL,48839.2,46404.2,1651.7,10.6,47909.5,33124.68,7425.6,12.1,41385.4,100810.5,78074.6,3647.2,1.86,884.3
Bharat Forge Ltd.,BHARATFORG,22308.8,21189,1019.3,,21635.5,15062.08,1003.9,18078.1,3914,41711.2,10754.7,1839.3,1.47,97.85
Bharat Heavy Electricals Ltd.,BHEL,303764.9,285042.3,8600.4,83.6,283898.2,198513.51,31382.1,1493.7,233573.2,483337.3,357187,31643.5,5.71,1510.55
