,,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone
Bharat Petroleum Corpn. Ltd.,BPCL,1469462.3,1453920.7,8304,,1446345.4,1264883.36,7358.1,211714.1,111193.3,481777.4,123889.1,62031.8,1.12,376.05
Bharti Airtel Ltd.,BHARTIARTL,345395.6,340142.9,3843.9,40.3,267956.6,188814.78,77438.4,77136.6,131179.9,533022.5,60255.6,123898.3,4.3,625.75
Bhushan Steel Ltd.,BHUSANSTL,54276.1,54095.5,159.6,6.8,49081.4,39195.56,4213,80662.5,13687,121510.2,23584.5,5349.7,0.83,395.7
Biocon Ltd.,BIOCON,10164.9,9388,246.6,,9314.7,6434.12,1117.9,1639.5,2197,18861.9,5216.7,1075,2.08,143.15
Bombay Rayon Fashions Ltd.,BRFL,13471.8,13424,33.9,,12757.8,9476,1485,17154.9,1161.6,31085.2,8173.1,391.8,1.2,148.45
Bosch Ltd.,BOSCHLTD,55715.3,51075.5,2801.7,8,50142.1,36581.17,5906.5,2843.1,8545.3,50177.3,22761.8,8841.8,4.3,4636.95
C E S C Ltd.,CESC,32609.7,30524.4,1275.9,16.9,28512.8,23314.93,4096.9,24218.1,27371.8,103551.3,19583.2,11768.5,0.78,211
Cairn India Ltd.,CAIRN,2980.4,37.3,2787.3,,2438,186.01,542.4,,1076.8,321905.4,28284.3,-354.4,1.09,184.1
Canara Bank,CANBK,195494.7,,186090.8,8.3,174770.5,16233.15,20724.2,140009.5,55593,2196458.1,205593.1,21686.4,0.68,165.7
Century Textiles & Inds. Ltd.,CENTURYTEX,44496.2,43559.6,70.7,569.1,42867.5,24779.61,2365.4,17623.5,6769.6,46317.4,9257.6,6666.8,1.38,219.95
Chambal Fertilisers & Chemicals Ltd.,CHAMBLFERT,47308,46096.4,979.3,60.3,45487.5,35767.94,2305.6,24812.2,11554,52845.2,14659.1,9644.8,1.41,41.85
Chennai Petroleum Corpn. Ltd.,CHENNPETRO,379884.3,379458.4,216.3,1.8,371612.7,316085.69,-3972.8,15479.1,22364,83396.8,35119.7,17813.9,0.46,94.4
Cipla Ltd.,CIPLA,53768.6,53091.3,238.2,23.6,47136,33953.94,7768.1,9402.4,10128.5,76125.5,34301.6,3491.7,3.94,220.05
Colgate-Palmolive (India) Ltd.,COLPAL,18659.2,18106.6,357.3,98.1,15767.4,9564.83,2902.2,46.9,3945.4,7897.2,3518.9,2828.1,29.63,471.2
Container Corpn. Of India Ltd.,CONCOR,36291.4,34176,1739.6,102.6,28379.4,24369.74,7912,1044.5,3779.4,45901.6,18656.4,8182.1,2.48,718.9
Corporation Bank,CORPBANK,72926.6,,69767.2,,63998.9,4590.78,8927.7,48099,28637.7,869224.8,120258.3,103522.7,0.53,180.6
Crompton Greaves Ltd.,CROMPGREAV,50902.1,50342.8,410.9,,46803.5,35728.22,3970.9,536.7,11876.7,29257.4,18052.2,5606,3.69,123.5
Cummins India Ltd.,CUMMINSIND,38063.3,36402.6,608,192,33826.6,26282.11,4336.6,228.7,5977.1,22204.3,12012,2211.6,2.63,185
D L F Ltd.,DLF,38803.6,28340.7,9995.5,0.1,23000,5540.64,15775.8,96149.7,16345.8,251488.3,82654.6,13377.3,2.29,167.3
Dabur India Ltd.,DABUR,24759.7,24359.3,299.5,4.2,21420.2,14312.86,3728.4,1406.6,3319.2,15865.1,5301.2,3369.5,11.63,99.2
Deccan Chronicle Holdings Ltd.,DCHL,8576.2,8149.4,,0.8,7175.5,4919.28,1400.7,3679.6,2588.3,18463.7,6838.4,2067.3,1,47.1
Dena Bank,DENABANK,40348.8,,37391.8,,36122.2,3861.04,4226.6,14431.3,16071,484647.5,63424.8,42581.2,0.48,32.4
Dish T V India Ltd.,DISHTV,7478.8,6369.7,1082.5,,12225.4,7492.75,-4762.8,11439.7,15715,20972.2,1099.8,-2667.2,-3.8,24
Divi'S Laboratories Ltd.,DIVISLAB,12224.3,12038.2,97.2,,8965.1,6312.78,4244.6,526.4,1616,15748.4,6928,2955.6,4.85,944.3
Dr. Reddy'S Laboratories Ltd.,DRREDDY,46137,45315,677,13,41169,27164.8,5609,6403,10502,77492,25582,4706,1.57,490.2
Educomp Solutions Ltd.,EDUCOMP,5274.8,5011.7,257.4,,4233.2,2209.22,1315.9,5227.2,1331.4,11798.3,3986.1,842.4,8.51,2087.2
Essar Oil Ltd.,ESSAROIL,426899.6,418163.8,7961,,422117.2,357194.36,-5135.1,100731.2,68659.9,221137.7,50109.1,22418.3,2.51,72.55
Everest Kanto Cylinder Ltd.,EKC,3993.8,3860.5,121.6,5.6,3882,2512.47,372.5,3353.8,1278.8,9747.9,3122.9,140.7,3.09,119.95
Federal Bank Ltd.,FEDERALBNK,38485,,36246.7,5.7,33480.1,2923.71,5004.9,12189.4,9123.3,389765.9,38162.5,30117.1,0.55,137.9
Financial Technologies (India) Ltd.,FINANTECH,7183,3615.7,3503.3,,3496.6,1104.64,3686,4611,734.2,24178,5390.7,1031.2,1.63,619.75
Firstsource Solutions Ltd.,FSL,8377.6,5660.4,2036.4,636.1,8226.5,3254.57,151.1,13427.4,1161.7,24244.1,2036.1,468.7,0.7,15.45
G A I L (India) Ltd.,GAIL,252175.6,244146.7,6010.3,,224188.6,182706.29,28037,12001.3,41779.2,257359.5,59192.8,25778.8,2.11,245.6
G M R Infrastructure Ltd.,GMRINFRA,1677.7,,1672.9,,701,71.83,976.7,4203,174.5,61409,13377.2,-261.5,3.03,94.85
G O L Offshore Ltd.,GTOFFSHORE,9530.1,8951.6,553.3,13.6,7419.1,3696.33,2111,19433.5,2423.9,28998.5,4780.9,3230.5,1.34,250.65
G T L Infrastructure Ltd.,GTLINFRA,3894.7,2462.8,587.9,,3866.3,2640.41,28.4,35476.4,3691.1,52121.2,15958.3,3024.2,1.98,29.45
G T L Ltd.,GTL,15207.9,14509,672.8,12.6,14823.9,11155.37,914.4,10112.5,10183.9,30733.1,14414.1,2544.9,2.3,239.6
G V K Power & Infrastructure Ltd.,GVKPIL,442.2,278.9,163.3,,232.2,83.14,210,,25.3,17427.9,128,51.3,1.89,23.4
Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,21160.8,19703.5,1011.3,326.6,16362.1,9474.71,5122.9,54.2,3166.6,44485.2,20133.7,4487.8,7.76,1611.95
Grasim Industries Ltd.,GRASIM,124697.6,121790.3,1831.5,21,108386.7,61102.61,16479.6,33949.5,16869.3,160680.4,20531.1,20680.6,1.53,1582.15
Great Eastern Shipping Co. Ltd.,GESHIP,33748.7,28362.8,2561.7,2549.7,19900.5,11206.66,13848.2,30665.5,7626.3,89266.5,20803.6,17690.1,0.59,189.75
Gujarat State Petronet Ltd.,GSPL,5119.2,4875,233.2,,3885.1,1927.25,1234.1,11479.5,3771.8,30138.8,2479.7,2037.7,1.77,38.35
H C L Technologies Ltd.,HCLTECH,49415.9,46750.9,2620.7,7.9,40314.4,18988.64,9971.6,5137.3,22159.9,70863.5,34019.2,5290.5,3.57,185.95
H D F C Bank Ltd.,HDFCBANK,198386.8,,197987.2,41.9,175937.4,21443.59,22449.4,91636.4,149848.6,1833586.8,217063.1,36615.4,2.83,973.4
Hindalco Industries Ltd.,HINDALCO,205265.8,196951,5991.9,64,177586.3,140546.24,22302.7,83242.9,18689.1,362701.4,61873.2,31703.9,0.37,52.05
Hindustan Construction Co. Ltd.,HCC,32086.9,31237,161.6,616.3,32922.9,25407.75,1253.5,23218,14026,51032.8,29583.6,1045.6,1.01,39.1
Hindustan Petroleum Corpn. Ltd.,HINDPETRO,1336576,1325886.2,6125.6,8.1,1312460.3,1187890.47,5747.9,227555.1,105102.6,472075.6,152987.9,58235,0.85,269.25
Hindustan Unilever Ltd.,HINDUNILVR,225242.8,219491.7,2887.3,2116,204621.6,126405.51,24964.5,4219.4,42558.3,85202.8,49276,19806.3,25.12,237.5
Hindustan Zinc Ltd.,HINDZINC,71051.8,61431.2,8242,16.1,44019.5,25623.84,27276.1,86.9,8028.2,159386,34705.8,27126.7,1.33,451.15
Hotel Leelaventure Ltd.,HOTELEELA,5999.9,4719.5,577.1,646.4,4550.1,2253.46,1449.8,24505.4,1713.1,49290.5,2015,2033.1,0.88,18.65
Housing Development & Infrastructure Ltd.,HDIL,18901.4,17197.6,880.8,,23985.6,16843.15,8304.3,41433.2,6126.3,95128.1,66842.8,-11212.6,0.5,81.85
Housing Development Finance Corpn. Ltd.,HDFC,111443.4,108.8,111078.8,,88478.2,1292.24,22965.2,838560.8,28833.7,1017088.2,23401,-90899.2,3.06,1412.2
I C I C I Bank Ltd.,ICICIBANK,399941.3,,392543.1,175.1,362360,23038.3,37581.3,931554.4,154528.1,3798495.8,451596.6,-201230.7,0.75,332.8
I C S A (India) Ltd.,ICSA,11253,11235.3,16.8,,9956.6,8225.93,1528.6,3916.1,1015.5,11451.8,6454.2,-1145.8,0.69,87.7
I D B I Bank Ltd.,IDBI,132565.2,,127814.8,132.8,123979.8,5122.71,8585.4,444170.4,49794.7,1725542.1,136047.3,196222.3,0.44,45.4
I D F C Ltd.,IDFC,33461.5,95.2,33113.4,18.5,26102.3,785.36,7359.2,235330.4,6236.1,303790.7,48781.8,-1204.7,1.16,54.1
I F C I Ltd.,IFCI,21974.2,190.6,13881.2,384,15402.7,524.14,6571.5,96712.7,9925.6,179224.5,8015.6,6220.6,0.52,19.3
I I F L Holdings Ltd.,IIFL,4944,,4920.7,,3885.7,1395.17,1058.3,18,5526.9,17529.3,5359.6,4936.2,1.6,58.65
I T C Ltd.,ITC,238272.7,232478.4,3519.8,,211932.1,78674.14,32675.6,1775.5,29860,198077.3,63457.1,30699.6,5.1,184.85
I V R C L Ltd.,IVRCLINFRA,50833.5,49729.9,946.8,,48604.4,42932.68,2288.8,13980.2,16795.1,51512.6,23957.5,196.7,0.9,121.45
Idea Cellular Ltd.,IDEA,103344.5,98570.8,4557.9,,93331.9,66337.52,10012.1,76882.7,30134.8,228840.5,31292.9,18637.5,1.38,50.1
Igate Computer Systems Ltd. [Merged],PATNI,18525.6,17348.6,1035,,13098.3,7025.83,5427.3,9.4,2763.3,39469.7,5051.7,6172.2,1.95,484.6
India Cements Ltd.,INDIACEM,38266.3,37113.1,444.6,2.2,34108.5,14352.16,4291.9,19880.3,10679.6,70519.2,10616.3,7061.3,1.01,106
Indiabulls Real Estate Ltd.,IBREALEST,1406,450.3,947.3,,1240.4,206.2,165.6,13691.8,179.6,54670.3,666.9,-623.9,0.72,99.4
Indian Bank,INDIANB,79893.2,,74902.2,5.4,67440,9328.61,12453.2,8307.9,32182.9,840538.4,80637.9,20119.8,0.64,82.2
Indian Hotels Co. Ltd.,INDHOTEL,17487.8,16202.6,1000.9,40.9,15147.5,8045.08,2340.3,17664.7,3438.9,54887.8,2595.6,2929.6,0.94,39.45
Indian Oil Corpn. Ltd.,IOC,3348773,3300033.9,37284.9,211.6,3302541.4,2835888.02,29486,449720.6,336799,1390637.1,416853.1,-231987.5,1.05,387.8
Indian Overseas Bank,IOB,113544.7,,110291.8,685,100286.8,10843.39,13257.9,104945.8,27909.7,1210734.1,125015.4,27892.1,0.42,45.6
Indusind Bank Ltd.,INDUSINDBK,27994.4,,27705.5,,26511,1955.71,1483.4,28169.6,9783.7,276762.1,45562.9,10607.7,0.8,32.1
J S W Steel Ltd.,JSWSTEEL,154784.2,151307.1,446.6,1023.5,153051.4,107456.56,4585,112726.3,74762.8,284465.1,29876.8,41286.9,0.57,232.85
Jaiprakash Associates Ltd.,JPASSOCIAT,64968.9,61517.5,2694.2,,56580.8,33862.17,9049.7,130268.4,46337.2,255624.7,63671,6148.7,1.61,84.1
Jindal Saw Ltd.,JINDALSAW,70728.3,69682.2,483,1.9,61217.6,50550.55,7303.5,7370.6,8328.5,55366.5,18193,18104.8,1.64,212.4
Jindal Steel & Power Ltd.,JINDALSTEL,86738.6,84575.3,1786.3,0.1,72104.8,46434.21,15364.8,49626.5,24462,144923.3,19131,23769.6,3.44,1205.55
K S Oils Ltd.,KSOILS,31794,31628.9,141.8,,32555.9,26599.51,1693.6,9339.2,3797.6,24173.2,11981.6,3264.8,1.66,42.25
Kingfisher Airlines Ltd.,KFA,62360.4,53548,2527.1,5308.2,78448.7,45840.46,-16088.3,56706.6,34895.7,74447.8,7375.4,-7820.8,-0.4,33.45
Kotak Mahindra Bank Ltd.,KOTAKBANK,36393.7,,35283.8,2.7,33632.7,5360.11,2761,67340.1,23936.5,287118.6,25859,-15353.7,2.5,282.2
L I C Housing Finance Ltd.,LICHSGFIN,30405.7,,30281.1,,25089.5,426.29,5316.2,261194.5,6382.2,291448.3,3395.7,-49235.9,0.85,224.4
Lanco Infratech Ltd.,LITL,40976.6,40824.2,111.6,20,41093.4,37239.41,2648.7,13431.3,27076.5,62057.5,16830.7,-1062,1.73,145.3
Larsen & Toubro Ltd.,LT,364583.8,343566,6421.9,12456,330818.8,266736.9,34816.1,65560.3,147761.5,376771.6,181500.9,14119.2,3.16,671.4
Lupin Ltd.,LUPIN,30295.6,29938.5,151.7,12,26380.5,20185.41,4169.7,9449.1,7721.8,33915.3,14424.2,3998.8,4.12,684.55
Mahanagar Telephone Nigam Ltd.,MTNL,55161.3,44637.1,5316.8,19.9,53044.2,37415.53,2117.1,,48352.7,248609,115160.1,15525.6,0.36,69
Mahindra & Mahindra Ltd.,M&M,150881.4,146681.3,3216.9,102.7,140910,107650.3,8408.5,40527.6,35202,143770.8,37705.4,15928.2,2.04,383.65
Mangalore Refinery & Petrochemicals Ltd.,MRPL,429066.4,427188.9,1440.9,19,411172.4,356583.84,11925.4,19868,31293.2,122692.7,50130.2,19576.5,1.52,41
Maruti Suzuki India Ltd.,MARUTI,243019,234337,5386,,227266,183777.7,12187,7538,29809,178672,39038,11933,2.41,779.85
Moser Baer India Ltd.,MOSERBAER,25772.7,22443.8,1244.7,1848.6,27477.3,20015.09,-1508.7,23424.2,5310.8,48521.7,15772.1,5070.2,0.53,53.1
Mphasis Ltd.,MPHASIS,34609.9,34050.2,551.5,8.1,26241.2,18890.07,8368.7,1291.2,8661.3,32404.7,10367.4,8743.3,6.99,675.6
N T P C Ltd.,NTPC,475618,419728,31597,127,393605,320412.2,82013,345793,74821,1114528,262696,91787,2.48,179.85
Nagarjuna Fertilizers & Chemicals Ltd. [Merged],NAGARFERT,23855.7,23735.7,50,,22470,18061.1,324.1,13150.1,3012.3,34308,4807.3,3954,0.84,17.8
National Aluminium Co. Ltd.,NATIONALUM,60390.8,56241,3765.8,2.8,48550.8,26276.85,12722.7,,16034,124392.9,44653.6,19382.2,1.42,214.65
Neyveli Lignite Corpn. Ltd.,NEYVELILIG,40958.6,28376.3,5973.4,19.7,32753.9,19062.51,8204.7,40577,20589,179954.9,69654.4,6073,1.49,83.9
Noida Toll Bridge Co. Ltd.,NOIDATOLL,803.2,792.1,8.6,,466.3,176.28,336.9,1981.1,117.2,6760.9,13.2,495.6,1.13,23.8
Oil & Natural Gas Corpn. Ltd.,ONGC,725987.9,664043.1,40713.3,657.7,565535.7,381644.96,161263.2,267.4,300342.5,1530395.3,289105.1,178516,2.12,780.2
Opto Circuits (India) Ltd.,OPTOCIRCUI,4291.6,4012.3,254.7,,3023.4,2337.35,1399.3,5226.1,329.7,10660,4267,936.8,4.04,100.5
Oracle Financial Services Software Ltd.,OFSS,23809.2,22126.2,1648.1,,16852.1,8717.7,6957.1,,6421.3,42873.5,24733.4,4311.4,1.77,742.4
Orchid Chemicals & Pharmaceuticals Ltd.,ORCHIDCHEM,12959.6,12032.2,40.3,673.4,14155.2,8671.11,-521.7,25967.5,3863.4,43251.1,15439.7,347.9,0.81,77.2
Oriental Bank Of Commerce,ORIENTBANK,99325.2,,98499.4,4.2,90421,6866.2,8904.2,29719.6,33746.9,1125826.1,135258.1,78057.5,0.43,110.1
P T C India Ltd.,PTC,65434,64503.8,917.9,,64525.7,63198.25,908.3,,2562.4,19124,9812.2,-913.6,1.04,69.95
Patel Engineering Ltd.,PATELENG,15969.3,14657.2,1209.9,3.5,17603.7,14618.14,1418.4,10212.2,9284.5,29463.6,16655,-2174.6,0.82,134.85
Petronet L N G Ltd.,PETRONET,85052,84287,755.9,5,79867.6,75208.52,5184.4,22816.9,7365.3,54295.5,17313.5,2652.6,1.47,38.85
Polaris Consulting & Services Ltd.,POLARIS,12030.6,11713.4,304.5,,10918.7,6466.19,1111.9,3.6,1687.5,9394.1,3534.1,1962.9,0.64,45.05
Power Finance Corpn. Ltd.,PFC,71010.3,,65636.5,,51310.7,488.45,19699.6,521607.5,18605.9,682190,17481.1,-108280.2,1.34,144.6
Power Grid Corpn. Of India Ltd.,POWERGRID,70416,57135.4,12951.9,0.8,53694.5,16736.6,16721.5,306250.2,61236.7,544781.5,64652.8,64757.3,2.71,95.6
Praj Industries Ltd.,PRAJIND,8172.5,7934.5,209.6,,6875,4795.54,1297.5,127.4,3401.6,9249.9,4594.3,958.1,2.42,58.45
Punj Lloyd Ltd.,PUNJLLOYD,69725.7,67424.1,2042.2,78.7,66514.7,50149.69,3211,29378.7,24006.3,82157.9,49649.2,-6507.3,1.06,91
Punjab National Bank,PNB,225561.3,,219395.9,22.5,194652.5,23321.64,30908.8,124596.6,91333.2,2469396.6,250043.4,118241.3,0.99,411.45
Ranbaxy Laboratories Ltd. [Merged],RANBAXY,55478.7,46533.7,6079.8,263.8,50331.7,34438.51,5719.8,33533.7,26508.7,116344.3,37046.3,-6662.4,5.5,517.95
Reliance Capital Ltd.,RELCAPITAL,30179.4,66.1,29778.3,0.1,20499.2,1474.7,9680.2,140428.7,1521.3,213496.9,7602.2,-3582.7,1.28,353.45
Reliance Communications Ltd.,RCOM,199673.9,150895.8,10956.5,31430.4,151647.2,95404.24,48026.7,309036.1,57814.9,922774.8,32327.1,18848.7,0.7,174.85
Reliance Industries Ltd.,RELIANCE,1484272.3,1463280.7,20291.9,95.7,1335454.7,1190012.51,153093.2,739044.8,326910,2459531.6,416324.9,145165.2,2.1,1524.75
Reliance Infrastructure Ltd.,RELINFRA,111710.5,97597.8,10175.6,79.5,99125.5,81997.5,11388.8,73321.8,46555,255664.9,43544.6,8926.4,1.11,515.55
Reliance Natural Resources Ltd. [Merged],RNRL,4714.1,2700.1,1812.9,1.9,4015.4,2252.06,698.7,15216,743.9,33962.3,1972,283.5,4.07,44.85
Reliance Power Ltd.,RPOWER,3347.2,,3346.9,,858.2,235.37,2489,,430.5,138521.6,144.3,-5245.7,1.78,102.35
Rolta India Ltd.,ROLTA,10242.6,9466.9,477.7,250.2,6409.7,5023.83,3723.2,9646.1,1192.2,28604.4,7965.8,3664.2,1.25,126.05
Rural Electrification Corpn. Ltd.,RECLTD,49451.2,,49070.5,0.1,36730.4,652.25,12720.8,449359.5,24367.1,559677.5,31211.1,-100716.1,1.33,96.1
Shipping Corpn. Of India Ltd.,SCI,46107.3,41671,3312.3,346.3,36700.6,24559.04,9406.7,24716.7,9736.1,101154.6,35891.7,11102.4,0.52,76.9
Shree Renuka Sugars Ltd.,RENUKA,23262.4,23206.5,53.5,0.6,27642.4,18332.07,1435.1,12934.4,8496.1,36775.7,13836.2,-2280.7,5.03,197.45
Siemens Ltd.,SIEMENS,91817,86143.3,4844,238.3,82464.6,71080.67,10448.5,5.9,39656,97744.3,59536,3468.3,6.44,557.15
Sintex Industries Ltd.,SINTEX,20767.7,19820.4,869.4,4.1,18299.8,13927.12,2667.1,19383.6,2897.9,42829.7,17770.6,2319.5,0.82,97.85
State Bank Of India,SBIN,765405.5,,755884.9,,674193.2,81979.73,91212.3,840579.4,747032.9,9650429.6,1374673.8,1134654.9,1.17,1067.1
Steel Authority Of India Ltd.,SAIL,513746.2,488372.7,18468.1,469.4,470770.9,310384.7,61704,75628.3,76886.7,556566.4,326492.1,59059.8,1.42,96.45
Sterling Biotech Ltd.,STERLINBIO,15107.5,14381.7,,620.5,14450.5,9208.69,2370,30908.7,483.3,55401.1,12855.2,-13.2,1.15,95.15
Sterlite Industries (India) Ltd. [Merged],STER,133457.7,122777.4,7258.5,,117928,98843.61,12364.3,38300.4,9729.7,198605.1,37410.2,19762.4,1.8,357.6
Sun Pharmaceutical Inds. Ltd.,SUNPHARMA,41140.6,28336.5,12388.2,4.7,28725.5,23060.82,12652.9,236,5730.9,62941.4,24898.6,12272.3,4.47,1111.45
Sun T V Network Ltd.,SUNTV,10915.2,10082,616.3,162.6,6544.1,3293.4,4371.1,0.9,1479.9,20447.1,7325.2,5846.5,3.67,167.1
Suzlon Energy Ltd.,SUZLON,74164.6,72544.7,1550.1,1.6,79530.5,51842.07,-4682.2,73294.8,33017.7,179140.6,67622.2,-3703.8,0.98,42.35
Syndicate Bank,SYNDIBANK,105551.4,,101272.4,4.8,96423.2,9461.75,9128.2,54141.8,35504.4,1302556.7,169345.9,8614.4,0.55,48.05
Tata Chemicals Ltd.,TATACHEM,87258.3,85380.1,1178,2.2,83693.2,64339.3,4520.5,36761,17709.9,100017.6,28725,5757.7,0.86,141.55
Tata Communications Ltd.,TATACOMM,43379,37494.3,5367.6,,38219.5,26545.19,5159.5,24139.1,25214.5,124767.7,20421.3,10868.5,2.17,518.35
Tata Consultancy Services Ltd.,TCS,227990.6,224079,2590.7,82.7,181045.8,114756.55,46962.1,410.4,35138.8,186106.4,62998.9,48343.6,3.95,538.55
Tata Motors Ltd.,TATAMOTORS,301757.4,285132.8,13970.3,643,289211.5,220575.64,10165.5,131655.6,85979.7,382686.3,51809.7,12950.2,0.66,180.3
Tata Power Co. Ltd.,TATAPOWER,79405.5,72710.5,6335.7,9,70182.8,61908.68,9222,51982,14193.3,161847.6,23598.1,6231.4,1.96,768.6
Tata Steel Ltd.,TATASTEEL,274952.4,268435.3,6517.1,,225827.7,126271.78,52017.4,269461.8,60398.6,691031.7,62046,75499,0.61,205.9
Tata Teleservices (Maharashtra) Ltd.,TTML,20686.1,20410.8,0.3,75.7,22280,13114.42,-1596,25584.6,15354.4,40257.4,5310.6,3816.7,-11.77,22.85
Tech Mahindra Ltd.,TECHM,44036,43601,125,,34170,12504,9866,,8793,29662,15663,12003,1.72,265.1
Television Eighteen India Ltd.[Merged],TV-18,4250.6,2877.1,1003.2,2.3,4052.4,1273.62,198.2,8703,1580.3,16309.9,2867.8,139.6,1.54,70
Titan Company Ltd.,TITAN,39533.4,39260.9,259.3,,39730.5,30258.35,1589.6,1754,9411.3,18013.5,13708.8,1535.8,6.3,781.75
Triveni Engineering & Inds. Ltd.,TRIVENI,20162.4,19678,221.2,1.5,16177.8,14296.43,1697.8,8338,5072.1,26190.3,7540.3,5380.1,3.11,109.35
Tulip Telecom Ltd.,TULIP,17037.1,16082.8,933.9,,14763.3,12465.59,2488.3,11224.4,2341.8,20834.9,7592,2870.2,1.49,348.85
Uco Bank,UCOBANK,92809.3,,89297,0.6,87232.1,9211.37,5577.2,51374.2,20248.3,1119959.1,123611.3,72797.9,0.47,24.05
Ultratech Cement Ltd.,ULTRACEMCO,72662.6,71604.2,508.5,11.6,63755.8,29456.64,9770.2,21416.3,11209.2,77364.7,9904,14469.9,1.91,551.35
Union Bank Of India,UNIONBANK,135040.7,,129017,92.4,117775.2,10228.5,17265.5,87749,46696.8,1613376.6,187720.8,156147.1,1.05,146.85
