,,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone
,,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs.
,,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006
Company Name,NSE symbol,Total income,Sales,Income from financial services,Extra-ordinary income,Total expenses,Cost of goods sold,Profit after tax,Borrowings,Current liabilities,Total assets,Current assets,Net cash flow from operating activities,PB on NSE,Closing price on NSE
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,GNFC,23757.4,22845,240.4,111.3,20844.4,14873.88,2947.2,2723.6,2644.5,24969,7561.9,3473.1,1.44,115.35
H C L Technologies Ltd.,HCLTECH,31162.6,30334.6,801.6,14.2,24779.7,11058.51,6382.9,133.8,9350.2,38144.8,8387.7,7738.3,6.34,504.65
H D F C Bank Ltd.,HDFCBANK,56889.8,,56765.4,2.7,48182,5856.6,8707.8,45604.8,74690.2,735868.7,86776.9,129869.5,4.57,774.25
Hindustan Petroleum Corpn. Ltd.,HINDPETRO,812724.1,775263.9,1769.2,,822758.2,712842.95,4055.5,66638.3,73947.4,248521.7,101564.5,6515,1.24,319.85
Housing Development Finance Corpn. Ltd.,HDFC,42910.3,,42194.5,572.6,30337.3,884.95,12573,467213.5,11013.7,534561.9,14448.7,10917,7.47,1336.8
I C I C I Bank Ltd.,ICICIBANK,193683.4,,188552.2,71.2,168282.7,14364.23,25400.7,486663,136572.6,2520587,238981.9,122072.6,2.36,589.05
I D B I Bank Ltd.,IDBI,86904.9,,64375.4,63.5,81296,3826.67,5608.9,513345.5,45126,886211.3,75801.3,26659.4,0.89,78.3
I D F C Ltd.,IDFC,10119.6,,10098.3,1.1,6363.2,224.18,3756.4,93665.5,2111.6,122551.8,4176.4,-28967.5,2.94,66.6
I F C I Ltd.,IFCI,19798.9,1960,15943.6,2.7,21579.9,320.05,-1781,136781.8,8977.2,119466.5,18009.4,14873.9,-0.18,10.8
I T C Ltd.,ITC,166115.4,162366.5,1862.1,,145118.7,51372.99,22353.5,1197.3,22000.9,133384.8,40843.5,18212.1,8.14,195.15
I V R C L Ltd.,IVRCLINFRA,15382.1,15178.9,149.4,,14452.5,13237.61,929.6,6786.3,5930.5,18062.4,10134.4,-1025.1,6.27,278
Igate Computer Systems Ltd. [Merged],PATNI,10461.6,9978.3,451.5,1,8404,4192.28,2057.6,30.6,2172.8,27397,5880.3,2429.4,2.61,417.4
India Cements Ltd.,INDIACEM,18462.7,18296.3,56.7,99.4,17787,8229.95,453.1,15180.9,3731.2,37772.3,4980.3,1643.6,3.66,165.3
Indian Hotels Co. Ltd.,INDHOTEL,11894.2,11166.2,488.6,25.5,10056.4,5517.56,1837.8,5807.2,1988.4,27548.8,2057.5,2386.6,4.49,1357.95
Indian Oil Corpn. Ltd.,IOC,2019088,1994309.1,15775.8,103.8,1995937.7,1666397.04,49143.6,264043.1,239218.7,921534.8,334922.3,-9365.9,2.33,584.4
Indian Overseas Bank,IOB,51344.9,,50207.3,435.2,43511.5,7278.1,7833.4,28193.7,28118.5,594298.9,48957.5,-21632.6,1.73,96.75
Indian Petrochemicals Corpn. Ltd. [Merged],IPCL,126646,123725.2,1087.6,6.4,117392.2,83031.54,11577.9,12014.1,28440.8,106379.6,27623.7,6878.9,1.32,262.35
Indusind Bank Ltd.,INDUSINDBK,14187.2,,13324.2,,13819,1060.09,368.2,11740.5,5652.4,176679.6,23201.7,2614.5,1.57,46.8
Jammu & Kashmir Bank Ltd.,J&KBANK,18352.6,,17925.1,,16584.2,1810.88,1768.4,3509.3,7584.6,264489.7,26958.6,-7795.7,1.21,450.8
Jet Airways (India) Ltd.,JETAIRWAYS,61247.5,56665.5,1244.1,2706.4,56727.1,33080.7,4520.4,50146.8,9465.4,88722.6,29503.9,6074.8,3.96,982.65
Jindal Steel & Power Ltd.,JINDALSTEL,29133.9,28779.5,75.2,,25244.3,12218.45,5729.4,27453.7,6259.7,57858.9,9015.4,6180.7,3.17,1895.8
Karnataka Bank Ltd.,KTKBANK,11946,,11837.3,,10185.7,1065.73,1760.3,1826.9,3006.3,149611.7,14080.6,9087.6,1.09,100.1
L I C Housing Finance Ltd.,LICHSGFIN,13993.4,,13575.2,,11907.7,260.29,2085.7,140026.1,2289.1,157558.4,6196.1,-22081.3,1.2,189.75
Mahanagar Telephone Nigam Ltd.,MTNL,61021.8,55713.1,2065.3,6.7,55218.8,41331.09,5803,,40251.2,218028.7,75519,2377.2,1.03,183.7
Maharashtra Seamless Ltd.,MAHSEAMLES,10951.9,10777.5,135.5,,9867.9,7244.82,1390.9,4921.3,976.2,10668.3,7418.6,-182.5,4.72,677.25
Mahindra & Mahindra Ltd.,M&M,97349.5,92764.9,2924.9,663,89769.7,66096.7,8571,8833.8,15208.4,59613.3,22916.3,6657.5,5.2,627.05
