,,,,,,,,,,,,,,,,,,,,,,,,,,NSE,NSE
,,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Finance S / Interim SQ,Finance S / Interim SQ
,,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs. Million,Rs. Million
,,Jun 2012,Jun 2012,Jun 2012,Jun 2012,Jun 2012,Jun 2012,Jun 2012,Jun 2012,Jun 2012,Jun 2012,Jun 2012,Jun 2012,Jun 2013,Jun 2013,Jun 2013,Jun 2013,Jun 2013,Jun 2013,Jun 2013,Jun 2013,Jun 2013,Jun 2013,Jun 2013,Jun 2013,31 Jul 2013,31 Jul 2014
Company Name,NSE symbol,Total income,Sales,Income from financial services,Extra-ordinary income,Total expenses,Cost of goods sold,Borrowings,Current liabilities,Total assets,Current assets,Net cash flow from operating activities,PB on NSE,Total income,Sales,Income from financial services,Extra-ordinary income,Total expenses,Cost of goods sold,Borrowings,Current liabilities,Total assets,Current assets,Net cash flow from operating activities,PB on NSE,Market Capitalisation,Market Capitalisation
A C C Ltd.,ACC,129788.70,125071.70,2586.70,61.50,118976.60,53992.66,1630.60,24793.60,121427.10,23059.20,14917.20,3.64,129764.60,123563.00,2204.70,,118769.30,56077.02,350.30,25566.10,123517.20,23577.30,9605.10,2.66,220328.56,262073.74
Adani Enterprises Ltd.,ADANIENT,57664.00,52748.50,4278.80,525.00,55588.50,44651.20,15627.70,24374.70,142148.90,30103.90,2015.90,3.35,128330.60,118867.70,9057.30,62.70,123972.90,101416.97,50882.70,45869.00,203514.80,64289.40,-438.30,2.15,192466.76,477097.61
Adani Ports & Special Economic Zone Ltd.,ADANIPORTS,25221.50,23084.50,2061.40,9.50,13448.90,8156.28,61726.90,10946.90,131780.40,13585.80,12874.40,4.97,35642.90,29804.90,5732.60,0.00,18101.10,9937.32,83356.40,23172.90,182567.40,32115.00,13470.90,4.15,259273.97,539351.95
Adani Power Ltd.,ADANIPOWER,41942.70,39512.70,2390.80,28.60,44881.90,27790.28,269428.70,20437.00,361185.00,49827.90,5407.80,2.48,69196.80,63401.30,5659.30,70.10,88717.10,59179.74,280921.30,36900.40,379833.90,39561.90,,2.09,100660.87,162550.79
Aditya Birla Nuvo Ltd.,ABIRLANUVO,90819.30,88681.20,1729.00,0.90,88327.40,64384.55,45611.20,16249.60,125521.60,39633.40,3965.20,1.89,104908.70,102816.20,1951.70,0.00,100820.20,75438.05,39831.40,20274.80,136482.60,44494.10,11.70,1.77,140109.89,192044.44
Allahabad Bank,ALBK,170636.50,,168425.50,1.00,151968.60,13574.82,90944.80,36828.80,1829576.10,153086.30,124247.90,0.96,197845.20,,194606.10,0.90,185993.10,14849.20,100975.80,41568.90,2044291.50,143112.60,,0.60,35726.87,66142.80
Ambuja Cements Ltd.,AMBUJACEM,114027.30,110053.80,2820.50,293.30,103065.00,47404.30,428.10,15871.40,124272.60,37450.80,18283.50,3.52,111063.10,103762.20,3280.20,387.30,96934.10,47097.30,404.80,18860.20,131007.20,38140.10,12275.10,2.98,258729.76,319566.64
