,,,,,,,,,,,,,,,,,,,,,,,,,,NSE,NSE
,,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Finance S / Interim SQ,Finance S / Interim SQ
,,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs. Million,Rs. Million
,,Jun 2008,Jun 2008,Jun 2008,Jun 2008,Jun 2008,Jun 2008,Jun 2008,Jun 2008,Jun 2008,Jun 2008,Jun 2008,Jun 2008,Jun 2009,Jun 2009,Jun 2009,Jun 2009,Jun 2009,Jun 2009,Jun 2009,Jun 2009,Jun 2009,Jun 2009,Jun 2009,Jun 2009,31 Jul 2009,30 Jun 2010
Company Name,NSE symbol,Total income,Sales,Income from financial services,Extra-ordinary income,Total expenses,Cost of goods sold,Borrowings,Current liabilities,Total assets,Current assets,Net cash flow from operating activities,PB on NSE,Total income,Sales,Income from financial services,Extra-ordinary income,Total expenses,Cost of goods sold,Borrowings,Current liabilities,Total assets,Current assets,Net cash flow from operating activities,PB on NSE,Market Capitalisation,Market Capitalisation
Bank Of Baroda,BANKBARODA,138921.80,,131953.60,13.70,124566.60,15946.02,93497.60,56850.30,1795995.10,258382.90,82693.60,0.93,178761.10,,171646.10,13.20,156489.10,19920.36,127679.00,74572.00,2266722.30,276958.80,84248.60,0.66,158455.93,255660.44
Bank Of India,BANKINDIA,144721.40,,138171.80,0.40,124627.40,13179.82,121184.20,61101.90,1788606.30,197062.50,54165.70,1.51,194332.90,,188189.80,,164259.40,15285.55,156731.80,63155.00,2259316.60,252846.90,130491.70,0.98,172546.34,183548.84
Bharat Electronics Ltd.,BEL,44119.30,41127.80,1827.60,36.00,35990.50,28862.28,13.80,32915.90,84017.70,62830.30,5033.70,2.64,48839.20,46404.20,1651.70,10.60,47909.50,33124.68,12.10,41385.40,100810.50,78074.60,3647.20,1.86,117432.00,138996.00
Bharat Forge Ltd.,BHARATFORG,24914.70,23678.40,1152.00,0.50,22385.20,15529.97,12874.90,6343.40,39854.60,9572.70,3445.80,4.04,22308.80,21189.00,1019.30,,21635.50,15062.08,18078.10,3914.00,41711.20,10754.70,1839.30,1.47,46846.04,67370.68
Bharat Heavy Electricals Ltd.,BHEL,234635.30,217756.70,9813.00,17.20,214314.50,137879.74,951.80,165764.50,376099.30,287276.60,34779.00,9.37,303764.90,285042.30,8600.40,83.60,283898.20,198513.51,1493.70,233573.20,483337.30,357187.00,31643.50,5.71,1091776.46,1204072.34
Bharat Petroleum Corpn. Ltd.,BPCL,1232503.20,1216840.70,10505.90,,1212773.50,1045209.42,150223.80,135945.70,432489.20,185616.70,3556.90,1.26,1469462.30,1453920.70,8304.00,,1446345.40,1264883.36,211714.10,111193.30,481777.40,123889.10,62031.80,1.12,171370.97,239612.04
Bharti Airtel Ltd.,BHARTIARTL,260640.80,257035.10,1240.50,6.60,198205.60,138242.53,65703.40,119090.70,418592.10,41121.00,104598.60,7.75,345395.60,340142.90,3843.90,40.30,267956.60,188814.78,77136.60,131179.90,533022.50,60255.60,123898.30,4.30,1557085.04,997990.91
Bhushan Steel Ltd.,BHUSANSTL,47454.00,46727.40,520.30,6.60,45097.40,34327.86,57181.30,12443.20,88085.50,21308.90,4367.80,1.74,54276.10,54095.50,159.60,6.80,49081.40,39195.56,80662.50,13687.00,121510.20,23584.50,5349.70,0.83,33195.85,60105.90
Biocon Ltd.,BIOCON,12987.00,9050.70,195.50,3347.50,8757.40,6090.01,1459.90,1642.50,17544.50,4106.30,5266.00,3.24,10164.90,9388.00,246.60,,9314.70,6434.12,1639.50,2197.00,18861.90,5216.70,1075.00,2.08,43710.00,65090.00
Bombay Rayon Fashions Ltd.,BRFL,9448.20,9270.60,172.60,,9226.90,6924.91,7143.60,708.60,14469.10,5787.20,-990.40,3.10,13471.80,13424.00,33.90,,12757.80,9476.00,17154.90,1161.60,31085.20,8173.10,391.80,1.20,15190.24,29054.83
