,,,,,,,,,,,,,,,,,,,,,,,,,,NSE,NSE
,,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Finance S / Interim SQ,Finance S / Interim SQ
,,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs. Million,Rs. Million
,,Jun 2011,Jun 2011,Jun 2011,Jun 2011,Jun 2011,Jun 2011,Jun 2011,Jun 2011,Jun 2011,Jun 2011,Jun 2011,Jun 2011,Jun 2012,Jun 2012,Jun 2012,Jun 2012,Jun 2012,Jun 2012,Jun 2012,Jun 2012,Jun 2012,Jun 2012,Jun 2012,Jun 2012,31 Jul 2012,31 Jul 2013
Company Name,NSE symbol,Total income,Sales,Income from financial services,Extra-ordinary income,Total expenses,Cost of goods sold,Borrowings,Current liabilities,Total assets,Current assets,Net cash flow from operating activities,PB on NSE,Total income,Sales,Income from financial services,Extra-ordinary income,Total expenses,Cost of goods sold,Borrowings,Current liabilities,Total assets,Current assets,Net cash flow from operating activities,PB on NSE,Market Capitalisation,Market Capitalisation
A B B India Ltd.,ABB,78176.80,77722.60,414.60,0.00,77175.10,62534.57,0.00,35269.80,66765.30,50434.40,1180.80,4.88,80334.10,80263.60,54.90,15.60,78966.90,63579.35,3276.80,32978.20,85908.80,51625.70,-502.20,5.72,168668.47,105922.40
A C C Ltd.,ACC,111455.60,105045.90,1919.10,0.00,99132.00,44727.80,5107.30,25949.30,121652.60,30066.90,14738.90,2.97,129788.70,125071.70,2586.70,61.50,118976.60,53992.66,1630.60,24793.60,121427.10,23059.20,14917.20,3.64,248612.40,220328.56
Aban Offshore Ltd.,ABAN,12673.20,11913.80,709.10,4.10,10333.70,3251.58,29024.80,2806.60,56723.20,4232.90,5625.10,1.32,7144.30,6389.10,545.90,0.00,8351.60,2422.41,26903.30,3500.20,51917.60,3313.90,2513.40,1.05,16595.02,11098.89
Adani Enterprises Ltd.,ADANIENT,34628.10,29129.60,5051.60,65.60,34159.60,25407.64,7968.10,8874.70,116502.30,17071.50,-4074.60,7.50,57664.00,52748.50,4278.80,525.00,55588.50,44651.20,15627.70,24374.70,142148.90,30103.90,2015.90,3.35,198955.64,192466.76
Adani Ports & Special Economic Zone Ltd.,ADANIPORTS,20052.90,17319.80,2338.80,329.10,10191.30,6285.39,27098.50,10415.70,85106.20,5650.10,12591.60,6.38,25221.50,23084.50,2061.40,9.50,13448.90,8156.28,61726.90,10946.90,131780.40,13585.80,12874.40,4.97,241308.82,259273.97
Adani Power Ltd.,ADANIPOWER,21942.80,21064.30,865.50,6.60,16705.30,9212.45,173460.60,14983.80,259012.20,13327.80,14502.00,3.89,41942.70,39512.70,2390.80,28.60,44881.90,27790.28,269428.70,20437.00,361185.00,49827.90,5407.80,2.48,95267.54,100660.87
