,,,,,,,,,,,,,,,,,,,,,,,,,,NSE,NSE
,,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Finance S / Interim SQ,Finance S / Interim SQ
,,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs. Million,Rs. Million
,,Jun 2013,Jun 2013,Jun 2013,Jun 2013,Jun 2013,Jun 2013,Jun 2013,Jun 2013,Jun 2013,Jun 2013,Jun 2013,Jun 2013,Jun 2014,Jun 2014,Jun 2014,Jun 2014,Jun 2014,Jun 2014,Jun 2014,Jun 2014,Jun 2014,Jun 2014,Jun 2014,Jun 2014,31 Jul 2014,31 Jul 2015
Company Name,NSE symbol,Total income,Sales,Income from financial services,Extra-ordinary income,Total expenses,Cost of goods sold,Borrowings,Current liabilities,Total assets,Current assets,Net cash flow from operating activities,PB on NSE,Total income,Sales,Income from financial services,Extra-ordinary income,Total expenses,Cost of goods sold,Borrowings,Current liabilities,Total assets,Current assets,Net cash flow from operating activities,PB on NSE,Market Capitalisation,Market Capitalisation
A C C Ltd.,ACC,129764.60,123563.00,2204.70,,118769.30,56077.02,350.30,25566.10,123517.20,23577.30,9605.10,2.66,136856.90,129488.40,1791.30,,125286.80,59410.12,0.00,28469.40,129204.70,23650.70,12232.20,3.19,262073.74,260477.91
Adani Enterprises Ltd.,ADANIENT,128330.60,118867.70,9057.30,62.70,123972.90,101416.97,50882.70,45869.00,203514.80,64289.40,-438.30,2.15,130196.40,117864.40,11297.20,78.20,135031.20,102900.68,65766.20,57542.00,226898.10,45802.20,3870.30,4.03,477097.61,95848.45
Adani Ports & Special Economic Zone Ltd.,ADANIPORTS,35642.90,29804.90,5732.60,0.00,18101.10,9937.32,83356.40,23172.90,182567.40,32115.00,13470.90,4.15,50322.90,41138.60,7902.30,1099.70,30161.20,17315.76,89059.50,14050.00,209058.30,26737.10,15664.30,4.16,539351.95,673059.32
Adani Power Ltd.,ADANIPOWER,69196.80,63401.30,5659.30,70.10,88717.10,59179.74,280921.30,36900.40,379833.90,39561.90,,2.09,114738.30,100262.90,6091.70,8297.70,108785.70,78550.80,252815.70,50999.10,409611.40,43645.40,33858.90,1.79,162550.79,80441.99
Aditya Birla Nuvo Ltd.,ABIRLANUVO,104908.70,102816.20,1951.70,0.00,100820.20,75438.05,39831.40,20274.80,136482.60,44494.10,11.70,1.77,86512.70,82521.90,3525.60,240.60,81824.80,56348.04,37533.70,18283.60,146020.50,33031.90,9881.80,1.75,192044.44,286274.07
Allahabad Bank,ALBK,197845.20,,194606.10,0.90,185993.10,14849.20,100975.80,41568.90,2044291.50,143112.60,,0.60,211153.90,,203247.00,0.50,199433.70,17010.53,121307.70,52861.10,2204342.90,164795.20,,0.45,66142.80,52538.26
Ambuja Cements Ltd.,AMBUJACEM,111063.10,103762.20,3280.20,387.30,96934.10,47097.30,404.80,18860.20,131007.20,38140.10,12275.10,2.98,119040.10,112522.10,3813.00,73.20,103917.40,50610.38,291.50,19705.40,140413.10,39141.50,16036.90,3.51,319566.64,360505.77
