,,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone
H C L Technologies Ltd.,HCLTECH,15300.3,14476,808.4,9.6,12007.6,4886.44,3292.7,966.9,5111.1,36450.2,4296.9,2603.3,4.35,389.5
H D F C Bank Ltd.,HDFCBANK,38245.7,,38240.1,2.1,31592.7,3832.17,6653,52900.1,49118.6,515059.8,54727.6,-26829,3.74,544.85
Hindustan Petroleum Corpn. Ltd.,HINDPETRO,661730,657221,2035.4,,649305.4,558266.36,12773.3,21853.5,61778.2,190909.5,86531.7,13180,1.22,304.35
Housing Development Finance Corpn. Ltd.,HDFC,34169.6,51.7,33384.3,681.4,23803.7,761.95,10365.9,366473.8,9873,425445,9734.8,8642.5,4.68,729
I C I C I Bank Ltd.,ICICIBANK,129495.7,,123550.2,,109443.7,11401.81,20052,417534,122484.1,1684353.4,174172.8,80282,2.31,392.8
I D B I Bank Ltd.,IDBI,35816.4,2527,31595,127.7,32743.8,1988.49,3072.6,538833.7,41468.9,814303,80998,-29791.3,1.02,91.15
I D F C Ltd.,IDFC,7276.9,,7236.3,,4236.7,146.11,3040.2,65451.4,1625.4,87340.9,5242,1953.5,NA,NA
I F C I Ltd.,IFCI,16999.3,1970,12418.4,16,21433.3,465.37,-4434,150249.5,11235.4,130434.7,10996.3,16179.7,-0.22,13.3
I T C Ltd.,ITC,150447,133611.3,1653.9,,129617.3,37417.87,21914,2453.6,19355.4,117785,26246.1,17856.9,4.25,1342.05
I V R C L Ltd.,IVRCLINFRA,10636.4,10534.9,77.6,,10069.3,9295.36,567.1,2471.8,6282.6,13219.7,10158.3,-12.1,3.79,474.35
Igate Computer Systems Ltd. [Merged],PATNI,9118.6,8756,204.4,133.9,7174.5,3749.28,1944.1,31.8,1047.4,23697.8,10070.6,3312.5,3.33,493.25
India Cements Ltd.,INDIACEM,14657.1,13855.9,14.8,43.9,14673.8,6838.98,45.8,19872.4,3058.4,37050.1,3939.5,2141.7,2.75,66.85
Indian Hotels Co. Ltd.,INDHOTEL,9522.1,8480.4,491,63.8,8463.5,4690.16,1058.6,10083.3,2265.3,26166.9,1569.3,2392.3,2.6,631.3
Indian Oil Corpn. Ltd.,IOC,1581394.2,1567686,9670.5,95,1549026.9,1286555.62,48906.3,173202.4,200758.2,753897,296796.9,44042.6,1.97,438
Indian Overseas Bank,IOB,47506,,46761.6,55.7,40992.4,6765.28,6513.6,17234.1,22752,508150.4,61084.1,-14179.1,1.7,76.15
Indian Petrochemicals Corpn. Ltd. [Merged],IPCL,96287.7,94704,329,18.4,88415.5,61214.56,7901.4,7602.5,24928.6,77186.5,19890,24476.4,1.38,162
Indusind Bank Ltd.,INDUSINDBK,13914.7,,12607.7,,11859.5,949.35,2055.2,10826.2,5958.6,156220.1,20421.5,-13957.6,1.76,50.15
Jammu & Kashmir Bank Ltd.,J&KBANK,16453.7,,16103.5,,15303,1752.77,1150.7,4064.8,6756.6,244228.3,35696.3,9641.2,1.06,363.05
Jet Airways (India) Ltd.,JETAIRWAYS,44466.7,43488.4,608.2,,40546.8,23150.13,3919.9,30285.9,7094.2,63981.2,18145.4,13856.8,5.97,1211.55
Jindal Steel & Power Ltd.,JINDALSTEL,24712.7,24498.7,49.3,,19694.1,10867.89,5157.1,14958.6,3754.1,35892.1,4655.1,7883.8,2.43,1041.6
Karnataka Bank Ltd.,KTKBANK,10613.8,,10535.3,,9142.3,1108.84,1471.5,2436.6,4025,125424.3,15308.6,2277.9,0.88,70.75
Kochi Refineries Ltd. [Merged],COCHINREFN,156977.3,155460.6,259.2,0.9,151717.4,116997.74,8421.2,7773.3,12058.8,49355.1,28209.8,2260.3,0.84,155.75
L I C Housing Finance Ltd.,LICHSGFIN,11510.6,,11415.4,,10073.4,193.33,1437.2,112532.2,2054.8,128166.3,3844.1,-22108.4,1.66,233.45
Mahanagar Telephone Nigam Ltd.,MTNL,60767.3,55976.7,1813.7,8.5,51377.4,37142.53,9389.9,,50645,229519,85305.2,12487.8,0.66,113.85
Maharashtra Seamless Ltd.,MAHSEAMLES,8784.4,8661.3,94.2,,8265.5,6163.56,851.5,1084.1,621.5,5369,2325.8,833.8,2.95,320.3
Mahindra & Mahindra Ltd.,M&M,78746.8,76547.7,1248.3,,75240.5,53522.73,5126.7,10526.2,12599.9,49860,19360.2,4140.2,2.92,496.9
Mangalore Refinery & Petrochemicals Ltd.,MRPL,208818.4,208292.2,216.9,,201964.2,164977.81,8797.6,34665.3,23671.4,92282.8,33046.6,16697.7,3.86,47.4
Maruti Suzuki India Ltd.,MARUTI,137778,134859,1554,,130659,93922.2,8536,4061,11203,65484,23824,10747,2.78,421.3
Mylan Laboratories Ltd.,MATRIXLABS,6790.2,6642.3,82.5,,5603.6,4197.84,1302.7,460.6,2043.5,10001,3436.9,1209.2,3.76,156.7
N T P C Ltd.,NTPC,267738,229561,20825,37,209668,168288.9,58070,170878,52306,736557,161960,47794,1.67,85.3
Nagarjuna Fertilizers & Chemicals Ltd. [Merged],NAGARFERT,13036.9,12708.5,92.3,20.3,12929.4,8441.86,295.3,14939.5,937.5,37752.5,3199.4,4300.1,0.65,12.5
National Aluminium Co. Ltd.,NATIONALUM,46962,46121.2,578.7,7.9,34872.7,17514.4,12348.4,,6162.5,62480.6,17181.9,17235.8,2.4,174.7
New Delhi Television Ltd.,NDTV,1853.6,1803.6,41,,1561.7,663.74,291.9,3.9,258.3,2471,1259.6,151,5.91,185.2
Neyveli Lignite Corpn. Ltd.,NEYVELILIG,36520,30150,3380.5,48.8,24385.2,12662.5,12134.5,12296.9,5105.5,113144.6,32107.7,11041.7,1.44,66
Oil & Natural Gas Corpn. Ltd.,ONGC,484998.4,468503.7,12060.6,,355466.5,205551.09,129830.5,18221.5,132844.7,950607.5,171314.8,150519.3,2.69,885.3
Orchid Chemicals & Pharmaceuticals Ltd.,ORCHIDCHEM,6949.2,6893,10.6,2.2,7597.2,4568.98,310.1,9866.3,2364.1,18596.6,6283,975.9,2.2,303.85
Oriental Bank Of Commerce,ORIENTBANK,40975.5,,40589.8,1.1,33714.8,4075.65,7260.7,13752.8,15168.3,540694.5,95670.4,56460.1,1.79,310.05
Polaris Consulting & Services Ltd.,POLARIS,6851,6689.7,83.6,0.7,6316.7,3657.79,534.3,,702.2,6490.4,1941.7,1230.7,2,107.8
Punj Lloyd Ltd.,PUNJLLOYD,15590,14889.9,311.2,167.2,15501.5,10620.92,81.4,5698.1,2776.9,13975.4,7646,-1070.7,NA,NA
Punjab National Bank,PNB,105978,,101260.6,10.5,91876.8,19287.18,14101.2,50611.5,92918,1262687.1,137248.2,81046,1.58,393.35
Ranbaxy Laboratories Ltd. [Merged],RANBAXY,34669.2,32840.3,1090.9,114.3,32858.5,20076.96,2120.4,10299.3,7282.9,48596.5,19515.6,629.3,5.68,362.75
Reliance Capital Ltd.,RELCAPITAL,3114.3,127.9,2905.2,,2056.2,261.23,1058.1,13135.5,117.4,28069.4,7906.6,7217,1.58,178.5
Reliance Industries Ltd.,RELIANCE,747674.8,731641,15178.8,178.2,666714.5,530101.39,75716.8,187845.9,136597.2,809528.9,170853,172885.8,2.02,546.05
S R F Ltd.,SRF,11812.3,11625.4,35.5,,11430.7,8477.67,600.5,4267.7,2257.4,12933.4,3238.4,980.3,1.35,89
Satyam Computer Services Ltd. [Merged],SATYAMCOMP,35666.4,34642.2,1000.5,,28163.8,15834,7502.6,98.7,2628.7,37868.6,32479.4,6439.7,4.06,409.05
Shipping Corpn. Of India Ltd.,SCI,40629.1,33961.4,943.8,1738.2,26430,16423.3,14199.1,14026.5,10269.9,62831.2,22873.2,13435.1,1.17,149.45
Siemens Ltd.,SIEMENS,30618.6,29251.8,1069.4,119.7,29341.9,23079,2547.5,25.7,12759,28707.6,15915.6,2131.6,11.05,2604.65
State Bank Of India,SBIN,395820.4,,380956.6,10,352775.2,58736.94,43045.2,226491.5,461140.4,4598828.4,552681.5,51714.5,1.43,654.8
Sterlite Industries (India) Ltd. [Merged],STER,43974.6,42790.5,1021.8,,44042.3,35954.09,1064.2,24395,4609.1,69094.1,16032.7,-2375.2,2.2,713.65
Strides Shasun Ltd.,STAR,3411.4,3312.5,98.9,,3006.1,2134.71,461.1,3184.1,853.2,7830,2496.3,631.1,3.74,308.85
Sun Pharmaceutical Inds. Ltd.,SUNPHARMA,13078.2,10443.7,2381.3,7.6,10009.1,7472.81,3064.6,18146.5,1370.1,32316.4,13182.6,2125.8,7.84,466.5
Sun T V Network Ltd.,SUNTV,3010.5,2906.9,99.2,,2242.9,1192.24,767.6,423.5,372.4,4910.9,2510.7,1201,NA,NA
Suzlon Energy Ltd.,SUZLON,19407.7,19175,225.9,,16272.2,12586.1,3614.7,3225.4,5291.9,20345,12691.2,579.4,NA,NA
Syndicate Bank,SYNDIBANK,43483.1,,41921.9,15.5,39454.1,7391.78,4029,10458,25047.9,521282.8,43359,-10189.1,1.26,53.55
T V S Motor Co. Ltd.,TVSMOTOR,34108.9,33212.5,143.1,3.6,32750.8,22947.59,1389.9,1868.4,4521.9,15376,3469.5,2230.5,2.38,67.95
Tata Chemicals Ltd.,TATACHEM,32301.9,30989.7,783.2,88,28485.9,20745.48,3405.5,13242.2,4810.9,45174.8,17124,6103.2,1.63,151.6
Tata Consultancy Services Ltd.,TCS,81463.3,80545.7,586.4,,63149.1,34676.37,18314.2,1207.4,7142.8,47832.7,17612.5,19567.5,20.7,1432.05
Tata Motors Ltd.,TATAMOTORS,207123.2,202174.2,3892.2,28.7,196193.7,141458.77,12369.5,24954.2,54483.5,139012.9,44969.4,12504.9,3.64,413.7
Tata Power Co. Ltd.,TATAPOWER,44467,39730.7,3540.1,359.6,38876.2,31690.81,5510,28600.1,7068.7,93786.2,20186.1,4259.6,1.38,358.6
Tata Steel Ltd.,TATASTEEL,162036.1,158676.2,1954.4,324.2,130190,69478.5,34741.6,27397,26400.2,167354.6,27409.9,38168.3,3.14,401.05
Titan Company Ltd.,TITAN,11615.5,11508.9,98.2,,12245.2,7734.91,249.4,3181.9,2451.7,8006.4,3967.7,1633.6,7.14,231.7
Union Bank Of India,UNIONBANK,58439.8,,55736.3,,51249.2,7569.13,7190.6,39909.6,28347.2,724426.3,78004.3,,1.66,113.05
Vijaya Bank,VIJAYABANK,24627.8,,23416.6,1.1,20822.1,2828.34,3805.7,11108.2,9768.3,293404.5,24685.3,14364.1,1.81,64.15
Wipro Ltd.,WIPRO,73697.1,72784.4,746.7,108.9,58841.8,38275.39,14948.2,620.9,11819.7,67426.5,23326.7,16664.2,9.65,670.95
Wockhardt Ltd.,WOCKPHARMA,10562.5,9283.6,1073.3,1.2,8615.4,5651.87,2384.7,8097,1985.3,19650.7,10374.3,1575,6.04,445.1
