,,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone
,,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs.
,,Jun 2005,Jun 2005,Jun 2005,Jun 2005,Jun 2005,Jun 2005,Jun 2005,Jun 2005,Jun 2005,Jun 2005,Jun 2005,Jun 2005,Jun 2005,Jun 2005
Company Name,NSE symbol,Total income,Sales,Income from financial services,Extra-ordinary income,Total expenses,Cost of goods sold,Profit after tax,Borrowings,Current liabilities,Total assets,Current assets,Net cash flow from operating activities,PB on NSE,Closing price on NSE
A B B India Ltd.,ABB,32510.2,32131.8,232,,30323.4,23452.61,2186.8,27.3,13728.7,23983.5,18983,772.2,9.18,1924.95
A C C Ltd.,ACC,46487.2,45498,227.6,121.4,43237.7,21044.54,3783.9,15090.7,7633.9,44607.8,8220.7,5889,4.03,360.55
Allahabad Bank,ALBK,38414.6,,38026.5,0.3,32996.7,4375.26,5417.9,7511,12949.1,451523.2,41329.5,43853.9,1.93,96.3
Alok Industries Ltd.,ALOKTEXT,13414,13293.5,76.4,,13247,9361.27,894.5,13189.7,1467,22502.6,13019.5,701.9,1.37,60.8
Andhra Bank,ANDHRABANK,30353.1,,28449,0.2,25152.1,4632.1,5201,16132.5,16837.3,327386.3,42202.7,,2.35,108.05
Ashok Leyland Ltd.,ASHOKLEY,49893.9,49080.3,720.2,39,47361.8,35323.22,2714.1,8804,9611.9,34089.6,18796.9,4477.6,2.19,21.05
Aurobindo Pharma Ltd.,AUROPHARMA,11757.9,11618.3,75.6,,11499.4,9055.32,350.8,8291.2,1951.5,19477,7975.3,832,1.86,288.25
Bank Of Baroda,BANKBARODA,77758.1,,75524.5,0.2,70989.7,12167.88,6768.4,31408.3,36965.5,946642.4,125157.8,15492.9,1.13,217.75
Bank Of India,BANKINDIA,71873.1,,69007.8,2.4,68472.6,10456.18,3400.5,83086.8,33832.1,950044.5,87285.9,-11642.2,1.18,103.65
Bharat Electronics Ltd.,BEL,33534.5,32343.8,706.6,7.7,29300.1,22753.01,4463.2,153.6,20117.6,45882.8,33108.4,837.7,3.36,668.2
Bharat Forge Ltd.,BHARATFORG,13205.2,13165.2,4,2.2,11867.6,7979.88,1615.3,4178.8,4318.2,16373.5,4260.5,1379.3,12.88,1376.3
Bharat Heavy Electricals Ltd.,BHEL,113393.7,106963.7,2289.8,14.6,109257.4,69798.98,9534,5369.8,71204.5,174234.1,129152.9,8183,3.11,766.4
Bharat Petroleum Corpn. Ltd.,BPCL,656071.9,638570.1,2176.9,38.4,662276.4,556354.92,9658,38816.1,88216,206667.3,88359.6,1693.4,1.66,353.5
Bharti Airtel Ltd.,BHARTIARTL,83090.3,80948.9,717.5,,70949.8,46255.18,12106.7,49942.9,42079.9,146708.6,18189,30059,8.49,207.4
Bongaigaon Refinery & Petrochemicals Ltd. [Merged],BONGAIREFN,51647.4,51360.9,57.8,,47355.8,35590.48,4783,624.6,5152,19185.5,10199,3452.3,2.38,90.45
C E S C Ltd.,CESC,24225.3,23876.2,20.8,,22753.3,15940.01,1472,21671.8,11200.9,49211.4,8987.6,9435.7,1.11,191.35
Canara Bank,CANBK,93362.7,,87574.3,4.2,82267.7,13494.9,11095,26937.6,45052.3,1104127.5,105915,-6309.3,1.37,200
Century Textiles & Inds. Ltd.,CENTURYTEX,29075.9,28480.4,211.6,121.7,27879.9,16633.77,1096.3,8948,3213.5,23910.7,6900.5,3097.2,2.76,223.25
Chambal Fertilisers & Chemicals Ltd.,CHAMBLFERT,27865.1,26907.7,734.2,3.1,26375.3,19431.74,2206.3,11798.4,3302.1,28615.5,8410.4,3107.5,1.45,29.8
Chennai Petroleum Corpn. Ltd.,CHENNPETRO,163847.4,162987.4,221.1,15.6,161851.9,127738.6,5969.7,23974.6,18584.4,74588.6,34469.9,3855.8,1.71,230.7
Cipla Ltd.,CIPLA,24828.7,24011.7,657.4,14,21401.3,15360.21,4096.1,1912,4944.6,26123.9,13585.5,1882.4,4.97,255.8
Corporation Bank,CORPBANK,28143.7,,26648.6,5.9,24122,3144.78,4021.7,12978.9,22714.7,339238.6,46115.5,1176.3,1.75,373.3
Cummins India Ltd.,CUMMINSIND,13853,12973.8,679.6,,12759.6,9905.17,1372.3,338.2,2239.9,10642.9,5437.7,-356.9,3.17,111.8
Dabur India Ltd.,DABUR,12807,12737.8,60.4,1.1,11406.9,6424.81,1479.7,486.3,2383.8,7218.3,1880.8,2113.8,9.41,111.05
Divi'S Laboratories Ltd.,DIVISLAB,3697.4,3682.2,5.3,,3288,2240.32,660.3,660.9,668.3,4553,2460.7,365.7,4.5,996.55
Dr. Reddy'S Laboratories Ltd.,DRREDDY,17126.5,16379.5,447.9,26.8,16768.2,10811.45,654.6,2876.3,3632.6,29976.6,16303.9,2505.3,2.73,739.15
Escorts Ltd.,ESCORTS,18536.8,13124.8,5133.2,63,18115.4,11503.51,390.9,6684.5,3519.4,21565.9,5257,-149.2,1.41,101.65
Essar Oil Ltd.,ESSAROIL,11526.2,10621,99.4,,12615.4,10061.77,98.6,51147.1,6739.2,87720.7,9361.9,3155,1.39,35.25
Federal Bank Ltd.,FEDERALBNK,14127.7,,13627.7,0.8,13226.8,1707.17,900.9,4559.1,3612.1,168521,29845.6,6657.7,1.42,155
G A I L (India) Ltd.,GAIL,132785.8,129309.9,2653.4,,112978.1,89200.08,19539.1,19974,27161.3,196472.3,49352.9,28307.3,2.08,212.2
Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,18901.2,15938.6,374.3,2250.7,13874.9,8111.65,5020.8,48.5,2575.6,25936.7,3600,3168.1,10.02,1121.75
Grasim Industries Ltd.,GRASIM,74418.6,72320.3,1470.5,40.1,66800.1,35120.25,8857.1,20083.4,8278.9,80954.4,12894.9,10336.9,2.57,1214.45
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,GNFC,19911,18977.6,268.3,179.8,17888.6,12560.03,2240.2,4965.9,2394.6,23140,6234.7,920.8,1.06,68.7
